GEOID,GISJn_Cty,GISJn_St,cty_name,St_name,Region,totpop_rac,wht_pop,afam_pop,amin_pop,asn_pop,hpi_pop,oth_pop,two_pop,toth_pop,thr_pop,totpop_ed,LessHS,HSGrad,SomeCol,BADeg,GradDeg,totpop_pov,pov_pop,pov150_pop,totpop_ins,nat_pop,nat_ins,fbnat_pop,fbnat_ins,fb_pop,fb_ins,wht_pop_pct,afam_pop_pct,amin_pop_pct,asn_pop_pct,hpi_pop_pct,oth_pop_pct,two_pop_pct,toth_pop_pct,thr_pop_pct,LessHS_pct,HSGrad_pct,SomeCol_pct,BADeg_pct,GradDeg_pct,pov_pop_pct,pov150_pop_pct,nat_ins_pct,fbnat_ins_pct,fb_ins_pct,LAT,LONG,geometry
1001,G01001,G01,"Autauga County, Alabama",Alabama,SE,55136,43011,10257,230,500,16,384,738,55,683,36233,5012,12139,11132,4930,3020,54712,7006,5338,54243,53481,47907,302,263,460,259,78.00892339,18.60309054,0.417150319,0.90684852,0.029019153,0.696459663,1.338508416,0.099753337,1.238755078,13.83269395,33.50260812,30.72337372,13.60638092,8.334943284,12.80523468,9.756543354,89.577607,87.08609272,56.30434783,-86.6425661319,32.5349963145,"c(-86.6425661318694, 32.5349963144723)"
1003,G01003,G01,"Baldwin County, Alabama",Alabama,SE,191205,165673,17907,999,1256,0,1843,3527,542,2985,133267,14615,38401,42104,25444,12703,188636,25988,18780,188944,182148,157423,2473,1963,4323,1800,86.64679271,9.365340865,0.522475877,0.656886588,0,0.963886928,1.844617034,0.283465391,1.561151644,10.96670594,28.81508551,31.59371787,19.09249852,9.531992166,13.77679764,9.955681842,86.42587347,79.37727457,41.63775156,-87.7227750061,30.7343542522,"c(-87.7227750060776, 30.7343542521771)"
1005,G01005,G01,"Barbour County, Alabama",Alabama,SE,27119,12806,12565,48,204,0,954,542,46,496,18836,4790,6300,5183,1481,1082,24215,5832,2995,24251,23505,20298,103,69,643,124,47.22150522,46.33282938,0.176997677,0.752240127,0,3.517828828,1.998598768,0.169622774,1.828975995,25.43002761,33.44659163,27.51645785,7.862603525,5.744319388,24.0842453,12.36836671,86.35609445,66.99029126,19.28460342,-85.3933604151,31.8694215969,"c(-85.3933604151131, 31.8694215968543)"
1007,G01007,G01,"Bibb County, Alabama",Alabama,SE,22653,17379,4797,160,19,0,6,292,0,292,15683,3466,6283,4328,916,690,21100,3596,3522,21101,20822,18248,41,41,238,87,76.71831545,21.17600318,0.706308215,0.083874101,0,0.026486558,1.289012493,0,1.289012493,22.10036345,40.06248804,27.59676082,5.84071925,4.399668431,17.04265403,16.69194313,87.63807511,100,36.55462185,-87.126555932,32.998516086,"c(-87.1265559320375, 32.9985160860373)"
1009,G01009,G01,"Blount County, Alabama",Alabama,SE,57645,54927,885,287,57,0,583,906,21,885,39052,8567,13471,12225,3174,1615,57083,9866,7209,57163,54781,48977,583,502,1799,762,95.28493365,1.535258912,0.497874924,0.098881082,0,1.011362651,1.571688785,0.036429872,1.535258912,21.93741678,34.49503226,31.30441463,8.127624706,4.135511626,17.28360458,12.62897886,89.4050857,86.10634648,42.35686492,-86.5676491472,33.9809235286,"c(-86.5676491471955, 33.9809235285889)"
1011,G01011,G01,"Bullock County, Alabama",Alabama,SE,10693,2803,7640,70,6,48,0,126,0,126,7283,2511,2353,1393,432,594,10153,2085,1748,10162,9659,8125,134,134,369,112,26.21341064,71.44861124,0.654633873,0.056111475,0.448891798,0,1.178340971,0,1.178340971,34.47755046,32.30811479,19.12673349,5.931621585,8.155979679,20.53580223,17.21658623,84.11843876,100,30.35230352,-85.715575086,32.1003722753,"c(-85.7155750859826, 32.1003722753407)"
1013,G01013,G01,"Butler County, Alabama",Alabama,SE,20523,11204,8975,25,118,0,49,152,32,120,14041,3288,5214,3528,1162,849,20208,5239,3232,20261,20100,17527,134,104,27,27,54.59240852,43.73142328,0.12181455,0.574964674,0,0.238756517,0.740632461,0.155922623,0.584709838,23.41713553,37.13410726,25.1264155,8.275763834,6.046577879,25.92537609,15.99366587,87.19900498,77.6119403,100,-86.6803913971,31.7523483623,"c(-86.6803913971407, 31.7523483622834)"
1015,G01015,G01,"Calhoun County, Alabama",Alabama,SE,117186,88125,24396,272,939,17,1294,2143,138,2005,78667,15674,25495,24199,8434,4865,114171,24794,13006,115801,113053,98986,773,681,1975,876,75.20096257,20.81818647,0.232109638,0.801290257,0.014506852,1.104227467,1.828716741,0.117761507,1.710955234,19.92449185,32.40876098,30.76131033,10.72114101,6.184295829,21.71654799,11.3916844,87.55716345,88.09831824,44.35443038,-85.8261042106,33.7713161354,"c(-85.8261042105713, 33.771316135445)"
1017,G01017,G01,"Chambers County, Alabama",Alabama,SE,34091,19771,13722,61,214,8,31,284,17,267,23821,5367,8885,6658,1855,1056,33653,8051,4654,33750,33404,28359,84,71,262,217,57.99477868,40.25109266,0.178932856,0.627731659,0.023466604,0.090933091,0.833064445,0.049866534,0.783197911,22.53054028,37.29902187,27.95012804,7.787246547,4.433063264,23.92357294,13.82937628,84.89701832,84.52380952,82.82442748,-85.3920618702,32.914104557899996,"c(-85.3920618702421, 32.9141045578793)"
1019,G01019,G01,"Cherokee County, Alabama",Alabama,SE,26042,24207,1283,97,90,3,36,326,5,321,18806,3856,6747,5620,1514,1069,25554,5370,2883,25654,25353,22145,223,166,78,65,92.95369019,4.926656939,0.372475232,0.345595576,0.011519853,0.138238231,1.251823977,0.019199754,1.232624222,20.50409444,35.87684781,29.88407955,8.050622142,5.684356057,21.01432261,11.28199108,87.34666509,74.43946188,83.33333333,-85.6037940111,34.175374663,"c(-85.6037940110682, 34.1753746630307)"
1021,G01021,G01,"Chilton County, Alabama",Alabama,SE,43781,37018,4484,178,104,0,1693,304,16,288,29393,6605,11753,7057,2580,1398,43290,8128,5838,43456,41107,35937,386,228,1963,451,84.55265983,10.24188575,0.40656906,0.237545967,0,3.866974258,0.694365136,0.036545533,0.657819602,22.47133671,39.98571088,24.00911782,8.777600109,4.756234478,18.77569878,13.48579349,87.42306663,59.06735751,22.97503821,-86.718910905,32.8479917525,"c(-86.7189109049773, 32.8479917525322)"
