Die_1,Die_2,Total,Probability,,Mean,7,,Die_total,Possible_rolls,Probability
1,1,2,2.78%,,SD,2.449489743,,2,1,2.8%
1,2,3,2.78%,,,,,3,2,5.6%
1,3,4,2.78%,,,,,4,3,8.3%
1,4,5,2.78%,,,,,5,4,11.1%
1,5,6,2.78%,,,,,6,5,13.9%
1,6,7,2.78%,,,,,7,6,16.7%
2,1,3,2.78%,,,,,8,5,13.9%
2,2,4,2.78%,,,,,9,4,11.1%
2,3,5,2.78%,,,,,10,3,8.3%
2,4,6,2.78%,,,,,11,2,5.6%
2,5,7,2.78%,,,,,12,1,2.8%
2,6,8,2.78%,,,,,,,
3,1,4,2.78%,,,,,,,
3,2,5,2.78%,,,,,,,
3,3,6,2.78%,,,,,,,
3,4,7,2.78%,,,,,,,
3,5,8,2.78%,,,,,,,
3,6,9,2.78%,,,,,,,
4,1,5,2.78%,,,,,,,
4,2,6,2.78%,,,,,,,
4,3,7,2.78%,,,,,,,
4,4,8,2.78%,,,,,,,
4,5,9,2.78%,,,,,,,
4,6,10,2.78%,,,,,,,
5,1,6,2.78%,,,,,,,
5,2,7,2.78%,,,,,,,
5,3,8,2.78%,,,,,,,
5,4,9,2.78%,,,,,,,
5,5,10,2.78%,,,,,,,
5,6,11,2.78%,,,,,,,
6,1,7,2.78%,,,,,,,
6,2,8,2.78%,,,,,,,
6,3,9,2.78%,,,,,,,
6,4,10,2.78%,,,,,,,
6,5,11,2.78%,,,,,,,
6,6,12,2.78%,,,,,,,
