background,stat_course,stat_soft,used_r,used_excel,used_matlab,used_other,excite,wake_time,athens_year,football,ice_cream
Meteorology/Climatology,One,"R, Excel",1,1,0,0,3,8:15:00 AM,0,40,Chocolate Chip Cookie Dough
Meteorology,None,"R, Excel",1,1,0,0,4,7:30:00 AM,0,2,Mint Chocolate Chip
Atmospheric Sciences,One,"R, Matlab, Excel",0,0,1,0,4,8:00:00 AM,4,29,Cookies and cream
Human geographer,One,"Excel, Statdisk",0,1,0,1,3,9:00:00 AM,0,50,Salted Caramel 
GIS/techniques,One,Excel,0,1,0,0,4,7:30:00 AM,0,0,"Strawberry (though I am now an ovo-vegetarian, so I don't do milk)"
Physical geographer,One,"R, Excel",1,1,0,0,5,8:30:00 AM,0,0,Vanilla!
Physical geographer,One,"R, Matlab, Excel",1,1,1,0,2,8:35:00 AM,32.981,9,"Butter Pecan (but lactose intolerant these days, Boo.)"
Human geographer,One,Excel,0,1,0,0,3,7:30:00 AM,7,2,Honey blue cornbread
Political Science Minor in Geography,One,Excel,0,1,0,0,3,6:30:00 AM,29,15,homemade strawberry
Landscape Architecture/GIS,One,"Matlab, Excel",0,1,1,0,4,6:45:00 AM,24,10,Vanilla
