STATEFP,CD,CD_ID,year,State,Region,Division,gisjn_st,st_abbr,CD_ID1,CDIDYR,asnnh_pct,badeg_pct,blknh_pct,hisp_pct,medhhinc,nonwht_pct,pov100_pct,whtnh_pct,dem_vote,repub_vote,total_vote,pct_dem,pct_gop,dist_omit,uncontest_r,uncontest_d,missing
1,1,G0101,1990,Alabama,South Region,East South Central Division,G01,AL,AL-01,AL-01-1990,0.167153271,8.747420127,18.34066846,0.635993136,39235.6291,20.5331658,19.56643126,79.4668342,78742,128874,214204,36.76028459,60.16414259,0,0,0,0
1,2,G0102,1990,Alabama,South Region,East South Central Division,G01,AL,AL-02,AL-02-1990,0.131730611,9.634670487,21.08635097,0.513513514,38215.5916,22.96950698,19.47991642,77.03049302,109335,112906,228160,47.92031907,49.48544881,0,0,0,0
1,3,G0103,1990,Alabama,South Region,East South Central Division,G01,AL,AL-03,AL-03-1990,0.140515222,9.142367067,17.67363072,0.35700119,39102.3442,19.54058193,16.74632353,80.45941807,119175,78800,197604,60.31001397,39.87773527,0,0,0,0
1,4,G0104,1990,Alabama,South Region,East South Central Division,G01,AL,AL-04,AL-04-1990,0.090604873,6.315454462,2.231093611,0.311593348,37316.1452,3.692567445,16.88570739,96.30743256,157907,66934,230523,68.49945559,29.03571444,0,0,0,0
1,5,G0105,1990,Alabama,South Region,East South Central Division,G01,AL,AL-05,AL-05-1990,0.293652265,15.6751998,7.034215687,0.64073848,47397.7425,10.34188188,12.63462538,89.65811812,160060,77951,244133,65.56262365,31.92972683,0,0,0,0
1,6,G0106,1990,Alabama,South Region,East South Central Division,G01,AL,AL-06,AL-06-1990,0.325732899,17.99729364,9.832246039,0.456751356,53248.6776,10.71761417,8.653378707,89.28238583,126062,146599,280139,44.99980367,52.33080721,0,0,0,0
1,7,G0107,1990,Alabama,South Region,East South Central Division,G01,AL,AL-07,AL-07-1990,0.070754717,9.040178571,74.5045417,0.262191924,27628.9624,74.87073423,32.33229329,25.12926577,144320,36086,207773,69.46042075,17.36799295,0,0,0,0
2,0,G0200,1990,Alaska,West Region,Pacific Division,G02,AK,AK-00,AK-00-1990,1.76455692,18.78569583,1.016310676,2.429497627,74521.673,20.37589578,7.064372054,79.62410422,102378,111849,239116,42.81520266,46.77604175,1,0,0,0
4,1,G0401,1990,Arizona,West Region,Mountain Division,G04,AZ,AZ-01,AZ-01-1990,1.490066225,24.79627474,1.954397394,10.16138673,57236.3442,16.04708798,8.645388289,83.95291202,130715,113613,254789,51.30323523,44.59101453,0,0,0,0
4,2,G0402,1990,Arizona,West Region,Mountain Division,G04,AZ,AZ-02,AZ-02-1990,0.702850449,7.581911725,3.095623987,38.77642825,35277.8836,52.77130045,26.46170017,47.22869955,90693,41257,137378,66.01712065,30.03173725,0,0,0,0
4,3,G0403,1990,Arizona,West Region,Mountain Division,G04,AZ,AZ-03,AZ-03-1990,0.648344252,13.7361728,0.557339012,6.213618053,49722.5213,10.62882931,10.80215783,89.37117069,88830,158906,258503,34.36323756,61.47162702,0,0,0,0
4,4,G0404,1990,Arizona,West Region,Mountain Division,G04,AZ,AZ-04,AZ-04-1990,1.306335728,26.69796557,1.028368794,5.604060914,70115.111,8.3986731,5.819924683,91.6013269,70572,156330,264066,26.7251369,59.20110881,0,0,0,0
4,5,G0405,1990,Arizona,West Region,Mountain Division,G04,AZ,AZ-05,AZ-05-1990,1.297466885,19.12272742,1.486316215,14.21539886,45176.3275,19.20948617,12.62606905,80.79051383,77256,172867,259813,29.73523265,66.53516183,0,0,0,0
