cd_id,year,dem_vote,repub_vote,total_vote,pct_dem,pct_gop
G0101,1990,78742,128874,214204,36.76028459,60.16414259
G0102,1990,109335,112906,228160,47.92031907,49.48544881
G0103,1990,119175,78800,197604,60.31001397,39.87773527
G0104,1990,157907,66934,230523,68.49945559,29.03571444
G0105,1990,160060,77951,244133,65.56262365,31.92972683
G0106,1990,126062,146599,280139,44.99980367,52.33080721
G0107,1990,144320,36086,207773,69.46042075,17.36799295
G0200,1990,102378,111849,239116,42.81520266,46.77604175
G0401,1990,130715,113613,254789,51.30323523,44.59101453
G0402,1990,90693,41257,137378,66.01712065,30.03173725
G0403,1990,88830,158906,258503,34.36323756,61.47162702
G0404,1990,70572,156330,264066,26.7251369,59.20110881
G0405,1990,77256,172867,259813,29.73523265,66.53516183
G0406,1990,124251,97074,234372,53.01443858,41.41877016
G0501,1990,149558,64618,214176,69.82948603,30.17051397
G0502,1990,154946,53978,208924,74.16381076,25.83618924
G0503,1990,117775,125295,249494,47.20554402,50.21964456
G0504,1990,102918,113009,215927,47.66333066,52.33666934
G0601,1990,119676,113266,251206,47.64058183,45.08889119
G0602,1990,71780,167247,256556,27.97829714,65.18927642
G0603,1990,122149,96092,238685,51.1758175,40.25891866
G0604,1990,129489,141155,283365,45.6968927,49.81384434
G0605,1990,158250,58698,230560,68.63723109,25.45888272
G0606,1990,190322,98171,291786,65.22657016,33.64486302
G0607,1990,153320,54822,217982,70.3360828,25.14978301
G0608,1990,191906,25693,232691,82.47246348,11.04168189
G0609,1990,164265,53707,228467,71.89878626,23.50755251
G0610,1990,134635,145702,280429,48.01036983,51.9568233
G0611,1990,90539,94453,198490,45.61388483,47.58577258
G0612,1990,157205,53278,228407,68.82669971,23.32590507
G0613,1990,123795,64953,205516,60.23618599,31.60483855
G0614,1990,146873,101202,259222,56.65915702,39.04066784
G0615,1990,168617,82875,265370,63.5403399,31.22998078
G0616,1990,96661,49843,155883,62.008686,31.97462199
G0617,1990,151565,49947,210367,72.04789725,23.74279236
G0618,1990,139704,0,165011,84.66344668,0
G0619,1990,101619,100590,216640,46.90685007,46.43186854
G0620,1990,72679,39388,112067,64.85316819,35.14683181
G0621,1990,68058,127758,195965,34.72967111,65.1942949
G0622,1990,87328,131242,249926,34.9415427,52.51234365
G0623,1990,88225,115504,212881,41.44334159,54.25754295
G0624,1990,141742,99835,255267,55.52695805,39.11002989
G0625,1990,72233,113611,218715,33.02608417,51.94476831
G0626,1990,73807,36453,120908,61.04393423,30.14936977
G0627,1990,83805,105521,212450,39.44692869,49.66862791
G0628,1990,76525,122353,209382,36.54803183,58.43530007
G0629,1990,160312,67141,261486,61.30806238,25.67670927
G0630,1990,48800,20034,83543,58.41303281,23.98046515
G0631,1990,68324,40873,109197,62.56948451,37.43051549
G0632,1990,150644,0,172812,87.17218712,0
G0633,1990,32010,15428,50779,63.03786999,30.38263849
G0634,1990,91738,50907,149718,61.27386153,34.00192362
G0635,1990,102941,17417,124776,82.50064115,13.95861384
G0636,1990,125751,109684,259757,48.41101491,42.22561856
G0637,1990,97159,0,113337,85.72575593,0
G0638,1990,82108,92038,189321,43.36972655,48.61478653
G0639,1990,81728,122472,213684,38.24713128,57.31453923
G0640,1990,63881,129563,205283,31.1185047,63.11433485
G0641,1990,58777,101753,170666,34.43978297,59.62113133
G0642,1990,79780,69251,157455,50.66844495,43.98145502
G0643,1990,88468,88987,190639,46.40603444,46.67827674
G0644,1990,81693,110333,203541,40.135894,54.20676915
G0645,1990,88508,123731,227016,38.98756035,54.50320682
G0646,1990,45435,55659,110806,41.00409725,50.23103442
G0647,1990,76924,165004,254257,30.25442761,64.89654169
G0648,1990,67415,140935,230495,29.24792295,61.14449337
G0649,1990,127280,106170,248898,51.13741372,42.65602777
G0650,1990,77293,39531,136626,56.57268748,28.9337315
G0651,1990,85148,141890,252995,33.65600111,56.08411233
G0652,1990,88076,112995,213784,41.19859297,52.85475059
G0801,1990,156629,70902,227531,68.83853189,31.16146811
G0802,1990,164790,88470,271361,60.72722315,32.60232679
G0803,1990,114480,143293,261964,43.70066116,54.69950069
G0804,1990,101957,139884,241841,42.15869104,57.84130896
G0805,1990,62550,173096,243415,25.69685517,71.11147629
G0806,1990,91073,142021,233097,39.07085891,60.92785407
G0901,1990,112838,75113,245430,45.9756346,30.60465306
G0902,1990,83197,119416,242707,34.27878059,49.20171235
G0903,1990,112022,84952,247531,45.25574574,34.31974177
G0904,1990,58666,147816,219615,26.71311158,67.30687795
G0905,1990,74791,104891,240283,31.12621367,43.65310904
G0906,1990,60373,166967,239597,25.19772785,69.68659875
G1000,1990,117426,153037,276124,42.52654604,55.42328809
G1198,1990,166808,20108,196754,84.77997906,10.21986847
G1201,1990,118941,100349,228632,52.02290143,43.89105637
G1202,1990,167215,60425,227726,73.42815489,26.53408043
G1203,1990,91915,63114,155029,59.28890724,40.71109276
G1204,1990,103531,135883,239471,43.23320987,56.74298767
G1205,1990,129698,114356,263549,49.21210098,43.3907926
G1206,1990,76419,144195,220614,34.63923414,65.36076586
G1207,1990,96945,125823,223023,43.46861086,56.41705116
G1208,1990,65145,141977,207122,31.45247728,68.54752272
G1209,1990,110135,158028,268163,41.07017001,58.92982999
G1210,1990,114809,149606,264415,43.42000265,56.57999735
G1211,1990,100984,77640,191354,52.77339381,40.57401465
G1212,1990,92346,100484,192830,47.88985116,52.11014884
G1213,1990,115767,158881,274648,42.15104425,57.84895575
G1214,1990,0,220351,268511,0,82.06404952
G1215,1990,132412,128873,261285,50.67722984,49.32277016
G1216,1990,101237,157322,258559,39.15431294,60.84568706
G1217,1990,102784,0,102799,99.98540842,0
G1218,1990,52142,104755,156897,33.23326769,66.76673231
G1219,1990,177423,103867,281294,63.07386578,36.92471222
G1220,1990,130959,91589,237889,55.05046471,38.50072933
G1221,1990,0,-99,-99,0,100
G1222,1990,91625,128400,247088,37.08193032,51.96529172
G1223,1990,84249,44807,143935,58.532671,31.13002397
G1301,1990,75808,103932,179740,42.17647713,57.82352287
G1302,1990,95789,54593,150382,63.69711801,36.30288199
G1303,1990,94271,114107,208378,45.24038046,54.75961954
G1304,1990,123819,126495,250314,49.46547137,50.53452863
G1305,1990,147445,56960,204470,72.1108231,27.85738739
G1306,1990,116196,158761,274957,42.25969879,57.74030121
G1307,1990,111374,82915,194289,57.32388349,42.67611651
G1308,1990,108472,86220,194692,55.71466727,44.28533273
G1309,1990,113024,77919,190943,59.1925339,40.8074661
G1310,1990,108426,93059,201485,53.81343524,46.18656476
G1311,1990,120168,44221,164400,73.09489051,26.89841849
G1501,1990,129332,41575,177476,72.87295184,23.42570263
G1502,1990,131454,40070,180955,72.64458014,22.14362687
G1601,1990,140985,90983,242790,58.06870135,37.47394868
G1602,1990,81450,139783,229957,35.41966542,60.78658184
G1701,1990,209258,43453,252711,82.80525976,17.19474024
G1702,1990,182614,31957,233864,78.085554,13.66477953
G1703,1990,162165,93128,255293,63.52113062,36.47886938
G1704,1990,90452,26154,116606,77.57062244,22.42937756
G1705,1990,132889,90738,232083,57.25925639,39.09721953
G1706,1990,86891,165009,251904,34.49369601,65.50471608
G1707,1990,182811,35346,225281,81.14798851,15.68973859
G1708,1990,96419,132887,238633,40.4047219,55.68676587
G1709,1990,162942,64760,239703,67.97662107,27.01676658
G1710,1990,85400,155230,240630,35.49017163,64.50982837
G1711,1990,135387,107860,243247,55.65824039,44.34175961
G1712,1990,168762,68115,236877,71.24456997,28.75543003
G1713,1990,82985,179257,262255,31.64286668,68.35217632
G1714,1990,75294,155271,230624,32.64794644,67.32647079
G1715,1990,97190,142167,239586,40.56580935,59.3386091
G1716,1990,113555,142388,255943,44.36730053,55.63269947
G1717,1990,156233,103719,259952,60.1007109,39.8992891
G1718,1990,114413,156533,270976,42.22255846,57.76637045
G1719,1990,187156,83526,270685,69.14162218,30.85726952
G1720,1990,154869,119219,274088,56.50338577,43.49661423
G1801,1990,147054,64770,211824,69.4227283,30.5772717
G1802,1990,130881,90593,229295,57.07974443,39.50936566
G1803,1990,121269,89834,211103,57.44541764,42.55458236
G1804,1990,134907,82468,217375,62.06187464,37.93812536
G1805,1990,107973,112492,220465,48.97512077,51.02487923
G1806,1990,71952,186499,258455,27.8392757,72.15917665
G1807,1990,88005,129189,217194,40.51907511,59.48092489
G1808,1990,125244,108054,238397,52.53589601,45.3252348
G1809,1990,160980,70057,231037,69.67715128,30.32284872
G1810,1990,117604,64378,183831,63.9739761,35.02020878
G1901,1990,81600,178042,261309,31.22739745,68.1346605
G1902,1990,131570,134536,267892,49.11307542,50.22023801
G1903,1990,121063,125931,257276,47.05569116,48.94782257
G1904,1990,158610,94045,257593,61.57387817,36.50914427
G1905,1990,0,196942,198366,0,99.28213504
G2001,1990,83620,194912,285297,29.30980697,68.31897987
G2002,1990,151019,109801,268806,56.18140964,40.84767453
G2003,1990,110071,169929,292791,37.59371019,58.0376446
G2004,1990,143671,117070,278016,51.6772416,42.10908725
G2101,1990,128524,83088,212574,60.46082776,39.08662395
G2102,1990,126894,79684,206578,61.42667661,38.57332339
G2103,1990,148066,132689,280770,52.73569114,47.25896641
G2104,1990,86890,139634,226524,38.35796648,61.64203352
G2105,1990,95760,115255,211015,45.38066014,54.61933986
G2106,1990,135613,87816,223450,60.6905348,39.30006713
G2201,1990,0,-99,-99,0,100
G2202,1990,-99,0,-99,100,0
G2203,1990,-99,0,-99,100,0
G2204,1990,194831,0,194831,100,0
G2205,1990,90079,153501,243580,36.98127925,63.01872075
G2206,1990,0,245178,245178,0,100
G2207,1990,-99,0,-99,100,0
G2301,1990,232696,125236,358148,64.97202274,34.967667
G2302,1990,130824,153022,311433,42.00710907,49.13480588
G2401,1990,112771,120084,232855,48.42970948,51.57029052
G2402,1990,88658,165443,254101,34.89085049,65.10914951
G2403,1990,163354,58869,222223,73.50904272,26.49095728
G2404,1990,136902,45166,182068,75.19278511,24.80721489
G2405,1990,118312,97982,223284,52.98722703,43.8822307
G2406,1990,106224,125564,231788,45.82808428,54.17191572
G2407,1990,152689,26304,178993,85.30445325,14.69554675
G2408,1990,77042,203377,280419,27.47388729,72.52611271
G2501,1990,135049,113828,262120,51.52182207,43.4259118
G2502,1990,131215,76795,247163,53.0884477,31.07058904
G2503,1990,115587,131473,260932,44.29774807,50.3859243
G2504,1990,182633,70665,269812,67.68898344,26.19045854
G2505,1990,133844,96206,256564,52.16788014,37.49785629
G2506,1990,130248,159165,290312,44.86483507,54.82549808
G2507,1990,174837,78262,281558,62.09626436,27.79604913
G2508,1990,149903,0,180484,83.05611578,0
G2509,1990,175550,54291,253634,69.21390665,21.40525324
G2510,1990,189342,75887,311650,60.75469276,24.3500722
