state_name,dist_omit
Alabama,0
Alaska,1
Arizona,0
Arkansas,0
California,0
Colorado,0
Connecticut,0
Delaware,1
District of Columbia,1
Florida,0
Georgia,0
Hawaii,1
Idaho,1
Illinois,0
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,1
Maryland,0
Massachusetts,0
Michigan,0
Minnesota,0
Mississippi,0
Missouri,0
Montana,1
Nebraska,0
Nevada,0
New Hampshire,1
New Jersey,0
New Mexico,0
New York,0
North Carolina,0
North Dakota,1
Ohio,0
Oklahoma,0
Oregon,0
Pennsylvania,0
Rhode Island,1
South Carolina,0
South Dakota,1
Tennessee,0
Texas,0
Utah,0
Vermont,1
Virginia,0
Washington,0
West Virginia,0
Wisconsin,0
Wyoming,1
