state_name,st_fips,cd_fips,cd_id,year,dem_vote,repub_vote,total_vote,pct_dem,pct_gop,uncontest,missing
Alabama,1,1,G0101,1990,78742,128874,214204,36.76028459,60.16414259,0,0
Alabama,1,2,G0102,1990,109335,112906,228160,47.92031907,49.48544881,0,0
Alabama,1,3,G0103,1990,119175,78800,197604,60.31001397,39.87773527,0,0
Alabama,1,4,G0104,1990,157907,66934,230523,68.49945559,29.03571444,0,0
Alabama,1,5,G0105,1990,160060,77951,244133,65.56262365,31.92972683,0,0
Alabama,1,6,G0106,1990,126062,146599,280139,44.99980367,52.33080721,0,0
Alabama,1,7,G0107,1990,144320,36086,207773,69.46042075,17.36799295,0,0
Alaska,2,0,G0200,1990,102378,111849,239116,42.81520266,46.77604175,0,0
Arizona,4,1,G0401,1990,130715,113613,254789,51.30323523,44.59101453,0,0
Arizona,4,2,G0402,1990,90693,41257,137378,66.01712065,30.03173725,0,0
Arizona,4,3,G0403,1990,88830,158906,258503,34.36323756,61.47162702,0,0
Arizona,4,4,G0404,1990,70572,156330,264066,26.7251369,59.20110881,0,0
Arizona,4,5,G0405,1990,77256,172867,259813,29.73523265,66.53516183,0,0
Arizona,4,6,G0406,1990,124251,97074,234372,53.01443858,41.41877016,0,0
Arkansas,5,1,G0501,1990,149558,64618,214176,69.82948603,30.17051397,0,0
Arkansas,5,2,G0502,1990,154946,53978,208924,74.16381076,25.83618924,0,0
Arkansas,5,3,G0503,1990,117775,125295,249494,47.20554402,50.21964456,0,0
Arkansas,5,4,G0504,1990,102918,113009,215927,47.66333066,52.33666934,0,0
California,6,1,G0601,1990,119676,113266,251206,47.64058183,45.08889119,0,0
California,6,2,G0602,1990,71780,167247,256556,27.97829714,65.18927642,0,0
California,6,3,G0603,1990,122149,96092,238685,51.1758175,40.25891866,0,0
California,6,4,G0604,1990,129489,141155,283365,45.6968927,49.81384434,0,0
California,6,5,G0605,1990,158250,58698,230560,68.63723109,25.45888272,0,0
California,6,6,G0606,1990,190322,98171,291786,65.22657016,33.64486302,0,0
California,6,7,G0607,1990,153320,54822,217982,70.3360828,25.14978301,0,0
California,6,8,G0608,1990,191906,25693,232691,82.47246348,11.04168189,0,0
California,6,9,G0609,1990,164265,53707,228467,71.89878626,23.50755251,0,0
California,6,10,G0610,1990,134635,145702,280429,48.01036983,51.9568233,0,0
California,6,11,G0611,1990,90539,94453,198490,45.61388483,47.58577258,0,0
California,6,12,G0612,1990,157205,53278,228407,68.82669971,23.32590507,0,0
California,6,13,G0613,1990,123795,64953,205516,60.23618599,31.60483855,0,0
California,6,14,G0614,1990,146873,101202,259222,56.65915702,39.04066784,0,0
California,6,15,G0615,1990,168617,82875,265370,63.5403399,31.22998078,0,0
California,6,16,G0616,1990,96661,49843,155883,62.008686,31.97462199,0,0
California,6,17,G0617,1990,151565,49947,210367,72.04789725,23.74279236,0,0
California,6,18,G0618,1990,139704,0,165011,84.66344668,0,1,0
California,6,19,G0619,1990,101619,100590,216640,46.90685007,46.43186854,0,0
California,6,20,G0620,1990,72679,39388,112067,64.85316819,35.14683181,0,0
California,6,21,G0621,1990,68058,127758,195965,34.72967111,65.1942949,0,0
California,6,22,G0622,1990,87328,131242,249926,34.9415427,52.51234365,0,0
California,6,23,G0623,1990,88225,115504,212881,41.44334159,54.25754295,0,0
California,6,24,G0624,1990,141742,99835,255267,55.52695805,39.11002989,0,0
