GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,ADK5E001,ADK5E002,ADK5E003,ADK5E004,ADK5E005,ADK5E006,ADK5E007,ADK5E008,ADK5E009,ADK5E010,ADK5E011,ADK5E012,ADK5E013,ADK5E014,ADK5E015,ADK5E016,ADK5E017,ADK5E018,ADK5E019,ADK5E020,ADK5E021,ADNEE001,ADNEE002,ADNEE003,ADNEE004,ADNEE005,ADNEE006,ADNEE007,ADNEE008,NAME_M,ADK5M001,ADK5M002,ADK5M003,ADK5M004,ADK5M005,ADK5M006,ADK5M007,ADK5M008,ADK5M009,ADK5M010,ADK5M011,ADK5M012,ADK5M013,ADK5M014,ADK5M015,ADK5M016,ADK5M017,ADK5M018,ADK5M019,ADK5M020,ADK5M021,ADNEM001,ADNEM002,ADNEM003,ADNEM004,ADNEM005,ADNEM006,ADNEM007,ADNEM008
"G01001","2011-2015",,,"Alabama","01",,,,,,,,,,,,,,,,,,,"01",,,,,,,,,,,"Congressional District 1 (114th Congress), Alabama",695961,675301,455224,192876,6563,9601,64,704,10269,646,9623,20660,14741,656,149,109,0,4233,772,614,158,680213,54699,69938,39575,36761,49994,20884,408362,"Congressional District 1 (114th Congress), Alabama",615,606,485,972,570,417,54,312,987,400,927,191,959,251,111,103,27,890,282,264,99,1037,2797,3274,2895,3081,3237,2191,5850
"G01002","2011-2015",,,"Alabama","01",,,,,,,,,,,,,,,,,,,"02",,,,,,,,,,,"Congressional District 2 (114th Congress), Alabama",684660,660910,429609,208475,2578,7625,77,1119,11427,751,10676,23750,16178,1177,250,147,39,5065,894,397,497,664462,56827,72504,39961,33739,49111,19273,393047,"Congressional District 2 (114th Congress), Alabama",2080,2270,1129,2361,264,791,51,421,815,373,751,743,933,301,169,176,34,815,194,123,167,2349,2512,2975,2462,2015,2386,1400,4130
"G01003","2011-2015",,,"Alabama","01",,,,,,,,,,,,,,,,,,,"03",,,,,,,,,,,"Congressional District 3 (114th Congress), Alabama",697296,676951,478639,175297,1885,9830,247,478,10575,426,10149,20345,11386,1284,122,156,0,6097,1300,612,688,676760,62800,75326,38115,36662,51537,20345,391975,"Congressional District 3 (114th Congress), Alabama",1426,1376,1218,1327,292,523,105,243,966,244,903,342,1099,504,98,116,27,1061,410,220,348,1663,2882,3007,2667,2339,2617,1939,4920
"G01004","2011-2015",,,"Alabama","01",,,,,,,,,,,,,,,,,,,"04",,,,,,,,,,,"Congressional District 4 (114th Congress), Alabama",682859,641392,574220,46760,4465,3795,276,294,11582,281,11301,41467,26020,663,470,32,712,11918,1652,1181,471,674190,49809,79497,43853,44056,56862,22485,377628,"Congressional District 4 (114th Congress), Alabama",1460,1507,1408,886,466,399,120,187,813,109,803,796,1643,408,341,36,663,1483,348,366,265,1551,2510,3203,2475,2268,2863,1627,4707
"G01005","2011-2015",,,"Alabama","01",,,,,,,,,,,,,,,,,,,"05",,,,,,,,,,,"Congressional District 5 (114th Congress), Alabama",700501,666113,513986,119451,3943,11199,491,1042,16001,254,15747,34388,24419,1003,311,131,86,6394,2044,900,1144,683497,43019,60075,33701,34204,43563,17310,451625,"Congressional District 5 (114th Congress), Alabama",126,127,249,863,362,530,158,283,1028,99,999,3,1257,341,160,103,58,1014,542,284,445,1479,2480,2877,2228,2522,2184,1795,4861
"G01006","2011-2015",,,"Alabama","01",,,,,,,,,,,,,,,,,,,"06",,,,,,,,,,,"Congressional District 6 (114th Congress), Alabama",692738,658100,535047,100201,1893,12343,95,765,7756,165,7591,34638,17790,630,224,26,9,15236,723,419,304,679953,29990,45078,27752,27372,39067,15812,494882,"Congressional District 6 (114th Congress), Alabama",2443,2508,1908,1809,354,581,74,309,880,136,860,1048,1407,273,192,44,14,1486,304,224,175,2725,1701,2550,1831,1981,2404,1605,4395
"G01007","2011-2015",,,"Alabama","01",,,,,,,,,,,,,,,,,,,"07",,,,,,,,,,,"Congressional District 7 (114th Congress), Alabama",676605,658361,218264,427004,874,4576,329,1190,6124,82,6042,18244,9941,1067,123,29,14,6543,527,304,223,652364,87928,99770,45650,38787,48050,20906,311273,"Congressional District 7 (114th Congress), Alabama",3160,3070,2124,2346,203,681,192,540,772,41,767,1336,1080,312,92,31,24,939,179,128,103,3128,3469,3576,2130,2146,2494,1593,4813
"G02000","2011-2015",,,"Alaska","02",,,,,,,,,,,,,,,,,,,"00",,,,,,,,,,,"Congressional District (at Large) (114th Congress), Alaska",733375,685567,457470,23755,98450,42360,8550,979,54003,492,53511,47808,26780,1267,2863,561,291,8294,7752,2710,5042,716218,32402,40555,28292,28864,39200,17824,529081,"Congressional District (at Large) (114th Congress), Alaska",0,109,298,754,1545,924,387,326,1973,271,1965,108,1141,367,619,281,173,976,857,471,754,373,2034,2253,2078,1860,2343,1267,3851
"G04001","2011-2015",,,"Arizona","04",,,,,,,,,,,,,,,,,,,"01",,,,,,,,,,,"Congressional District 1 (114th Congress), Arizona",727454,572312,363700,16139,165576,11507,953,586,13851,464,13387,155142,108304,1239,5400,627,71,30558,8943,4150,4793,697390,76571,76057,42261,39261,50026,21186,392028,"Congressional District 1 (114th Congress), Arizona",3468,3409,3265,1202,2092,957,240,212,1093,244,1116,2927,3369,311,1006,383,40,1916,1054,702,735,3881,3511,3189,2474,2535,2904,1617,4344
"G04002","2011-2015",,,"Arizona","04",,,,,,,,,,,,,,,,,,,"02",,,,,,,,,,,"Congressional District 2 (114th Congress), Arizona",719851,523755,449957,27131,5864,20203,1372,1027,18201,606,17595,196096,133838,2355,3028,769,99,43656,12351,6761,5590,697096,52392,61231,34349,37124,48898,19100,444002,"Congressional District 2 (114th Congress), Arizona",3662,2709,2359,1017,711,1040,284,381,1267,252,1217,2946,3087,501,471,325,73,2612,1133,1054,705,3775,2731,2615,2337,2272,2669,1904,5349
"G04003","2011-2015",,,"Arizona","04",,,,,,,,,,,,,,,,,,,"03",,,,,,,,,,,"Congressional District 3 (114th Congress), Arizona",732596,282156,203012,31400,24717,12532,936,688,8871,237,8634,450440,330825,2852,7528,644,78,95395,13118,6805,6313,706162,75416,97623,55080,51362,62167,22600,341914,"Congressional District 3 (114th Congress), Arizona",5203,4316,3872,1922,1358,1323,266,277,851,110,866,4746,5722,569,962,243,63,4231,1394,1056,910,4952,3325,4208,3395,2954,3495,2318,5718
"G04004","2011-2015",,,"Arizona","04",,,,,,,,,,,,,,,,,,,"04",,,,,,,,,,,"Congressional District 4 (114th Congress), Arizona",730220,595403,547567,12546,12478,7720,1361,378,13353,409,12944,134817,93416,859,2027,612,255,30488,7160,3999,3161,701671,51145,64243,34740,41153,58401,25732,426257,"Congressional District 4 (114th Congress), Arizona",4342,3395,3029,1065,2262,724,411,219,1043,195,992,3192,3323,246,513,294,209,2766,1326,1048,679,4817,3858,4497,2866,2751,3441,1935,6478
"G04005","2011-2015",,,"Arizona","04",,,,,,,,,,,,,,,,,,,"05",,,,,,,,,,,"Congressional District 5 (114th Congress), Arizona",761257,627825,545918,21080,7532,35190,1529,397,16179,337,15842,133432,102538,1113,1712,555,99,21030,6385,3769,2616,757123,34230,37798,24149,25616,37112,19055,579163,"Congressional District 5 (114th Congress), Arizona",3658,4497,4313,1883,1085,1767,411,130,1041,129,1013,4062,4168,331,475,222,104,2131,843,703,497,3537,2658,2298,1897,2282,2886,2186,5777
"G04006","2011-2015",,,"Arizona","04",,,,,,,,,,,,,,,,,,,"06",,,,,,,,,,,"Congressional District 6 (114th Congress), Arizona",739321,621542,541955,18975,10203,33051,604,1029,15725,823,14902,117779,90523,1526,1348,405,74,19428,4475,2925,1550,734689,44889,46660,32168,26262,39675,19801,525234,"Congressional District 6 (114th Congress), Arizona",4439,4517,4264,1746,1118,1829,266,354,1370,362,1264,3353,3474,477,361,188,77,1849,775,698,353,4511,2683,2820,3072,2098,2468,1798,5510
"G04007","2011-2015",,,"Arizona","04",,,,,,,,,,,,,,,,,,,"07",,,,,,,,,,,"Congressional District 7 (114th Congress), Arizona",744743,263602,150416,68336,16573,16114,1615,739,9809,409,9400,481141,337152,3974,4909,1007,92,121284,12723,7222,5501,734008,119098,135111,59410,59481,67563,24694,268651,"Congressional District 7 (114th Congress), Arizona",4779,4021,3257,2509,1405,1680,452,227,1112,149,1115,4804,6445,733,827,681,59,5048,1262,1005,954,4914,4446,5045,3568,3369,3947,2300,5134
