GEOID,totpop_race,wht_pop,blk_pop,amin_pop,asn_pop,hisp_pop,hpi_pop,oth_pop,two_pop,thr_pop,totpop_ed,LessHS,HSGrad,SomeCol,BADeg,GradDeg,totpop_pov,pov_pop,allcit_pop,nat_pop,fbnat_pop,fb_pop,nat_ins,fbnat_ins,fb_ins,wht_pop_pct,blk_pop_pct,amin_pop_pct,asn_pop_pct,hisp_pop_pct,hpi_pop_pct,oth_pop_pct,two_pop_pct,thr_pop_pct,LessHS_pct,HSGrad_pct,SomeCol_pct,BADeg_pct,GradDeg_pct,pov_pop_pct,nat_pct,fbnat_pct,fb_pct,nat_ins_pct,fbnat_ins_pct,fb_ins_pct
01001,55380,41315,10524,140,573,1565,5,85,1173,1173,37367,4291,12551,5281,6019,3910,54922,8340,54552,53253,750,549,49544,720,432,74.60274467316721,19.003250270855904,0.2527988443481401,1.0346695557963164,2.825929938605995,0.00902853015529072,0.15348501263994221,2.1180931744312024,2.1180931744312024,11.483394438943453,33.5884604062408,14.132790965290228,16.107795648566917,10.463778200016057,15.1851716980445,97.61878574571051,1.006379234491861,1.006379234491861,93.03513417084484,96,78.68852459016394
01003,212830,176803,19525,1391,1955,9711,9,344,3174,3010,151112,13893,41797,24797,31801,16347,209618,21704,210305,202405,3626,4274,186016,3204,2406,83.07240520603298,9.173988629422544,0.6535732744443922,0.9185735093736784,4.562796598223935,0.0042287271531269086,0.16163134896396184,1.49133110933609,1.414274303434666,9.193842977394251,27.659616708137015,16.409682884218327,21.044655619672824,10.817804012917572,10.354072646433035,96.24355103302346,2.0322864411212285,2.0322864411212285,91.90286801215385,88.36183121897407,56.29386991109031
01005,25361,11618,12031,74,121,1105,1,107,338,270,17964,4812,6396,2576,1367,713,22417,6875,22475,21815,328,332,19591,136,204,45.810496431528726,47.43898111273215,0.29178660147470525,0.477110524032964,4.357083711210126,0.0039430621820906115,0.42190765348369547,1.3327550175466267,1.0646267891644652,26.78690714762859,35.60454241816967,14.339790692496104,7.609663771988422,3.969049209530171,30.66868894142838,97.06340378197997,1.4771968854282538,1.4771968854282538,89.80517992207197,41.46341463414634,61.44578313253012
01007,22493,16763,4981,30,27,579,0,0,113,113,16168,3386,7256,1950,1043,635,20632,3740,20632,20328,140,164,18343,87,1,74.52540790468146,22.144667229804828,0.13337482772418086,0.12003734495176278,2.5741341750766904,0,0,0.5023785177610812,0.5023785177610812,20.94260267194458,44.878772884710536,12.06086095992083,6.451014349332014,3.9275111331024246,18.127181077937184,98.52656068243505,0.794881737107406,0.794881737107406,90.23514364423455,62.142857142857146,0.6097560975609756
01009,57681,50121,881,40,212,5342,25,214,846,846,39791,7763,13299,8078,3432,1778,57108,7739,57217,54598,966,1653,49426,685,947,86.89343111249805,1.5273660304086267,0.06934692533069814,0.3675387042527002,9.261281877914739,0.043341828331686344,0.3710060505192351,1.4666874707442659,1.4666874707442659,19.509436807318238,33.4221306325551,20.301073106983992,8.62506596969164,4.46834711366892,13.551516425019262,95.42268906094343,2.889001520527116,2.889001520527116,90.52712553573392,70.91097308488614,57.2897761645493
01011,10248,2191,7666,0,50,262,0,1,78,78,7101,1798,2860,632,527,329,9784,2825,9865,9800,65,0,8678,65,0,21.379781420765028,74.80483996877439,0,0.48790007806401253,2.5565964090554254,0,0.00975800156128025,0.7611241217798594,0.7611241217798594,25.320377411632165,40.27601746232925,8.90015490775947,7.421489930995634,4.633150260526686,28.873671300081767,99.34110491637101,0,0,88.55102040816327,100,0
01013,19828,10232,8928,11,69,277,0,0,311,311,13819,2066,6244,1470,1343,887,19540,4397,19538,19385,78,75,17698,71,75,51.60379261650192,45.02723421424248,0.05547710308654428,0.3479927375428687,1.3970143231793424,0,0,1.568489005446843,1.568489005446843,14.950430566611187,45.18416672697011,10.63752804110283,9.718503509660612,6.418698892828714,22.502558853633573,99.21691063568431,0.38386733544886886,0.38386733544886886,91.29739489295847,91.02564102564102,100
01015,114618,82608,23682,220,1007,4352,14,185,2636,2464,79108,12315,25940,12066,8311,6309,111542,19969,112854,109828,1498,1528,99915,1262,940,72.07244935350468,20.661676176516778,0.19194192884189218,0.8785705561081156,3.7969603378177945,0.012214486380847685,0.16140571288977298,2.2998132928510358,2.1497496030291927,15.567325681347018,32.790615361278256,15.252566112150479,10.5058906810942,7.975173180967792,17.90267343242904,97.31865950697362,1.3539617558969996,1.3539617558969996,90.97406854354081,84.2456608811749,61.518324607329845
01017,33660,18697,13316,112,376,800,0,17,342,342,23789,4372,8739,3630,2260,903,33103,5711,33252,32633,135,484,29274,125,424,55.54664289958408,39.56030897207368,0.33273915626856804,1.1170528817587642,2.3767082590612003,0,0.050505050505050504,1.0160427807486632,1.0160427807486632,18.37824204464248,36.73546597166758,15.259153390222371,9.500189163058556,3.795872041699945,17.252212790381535,98.13845783712259,1.455551545771683,1.455551545771683,89.70673857751356,92.5925925925926,87.60330578512396
01019,25903,23759,1191,280,64,413,0,0,196,196,18874,3478,7598,2568,1254,1153,25571,3560,25636,25414,142,80,23248,142,29,91.72296645176235,4.597923020499556,1.0809558738370073,0.24707562830560167,1.5944099139095855,0,0,0.7566691116859051,0.7566691116859051,18.42746635583342,40.256437427148455,13.606018861926461,6.64406061248278,6.108932923598601,13.922021039458762,99.13403026993291,0.31206116398814165,0.31206116398814165,91.47713858503187,100,36.25
01021,44055,35302,4041,39,195,3457,0,43,989,967,30046,5474,13348,3902,2440,1383,43430,8302,43726,41719,638,1369,36944,449,652,80.13165361479967,9.172625127681307,0.08852570650323459,0.44262853251617296,7.847009420043127,0,0.09760526614459199,2.2449211213256155,2.1949835432981497,18.218731278705985,44.425214670838045,12.986753644411902,8.120881315316515,4.602942155361778,19.115818558600044,95.41005351507113,3.1308603576819283,3.1308603576819283,88.55437570411563,70.37617554858933,47.62600438276114
01023,12925,7287,5500,8,17,53,0,9,51,51,9329,1737,3515,1678,715,398,12712,2968,12796,12714,46,36,11391,46,36,56.37911025145068,42.5531914893617,0.06189555125725338,0.13152804642166344,0.41005802707930367,0,0.06963249516441006,0.3945841392649903,0.3945841392649903,18.61935898810162,37.67820773930753,17.98692249973202,7.664272698038375,4.266266480866117,23.348017621145374,99.3591747421069,0.28133791809940606,0.28133791809940606,89.59414818310523,100,100
01025,24128,12720,11044,26,104,79,0,0,155,155,16770,3259,7005,2220,1214,836,23628,5484,23826,23769,43,14,21465,43,13,52.71883289124668,45.77254641909814,0.10775862068965517,0.43103448275862066,0.32742042440318303,0,0,0.6424071618037135,0.6424071618037135,19.4335122242099,41.77101967799642,13.237924865831843,7.239117471675612,4.985092426952892,23.209751142712037,99.76076555023924,0.05875933853773189,0.05875933853773189,90.3067020068156,100,92.85714285714286
01027,13337,10717,2068,0,21,419,0,18,94,94,9459,2205,3577,1386,562,437,13049,2342,13091,12824,86,181,11632,86,19,80.35540226437729,15.50573592262128,0,0.15745669940766288,3.1416360500862264,0,0.13496288520656818,0.7048061783009673,0.7048061783009673,23.311132254995243,37.815836769214506,14.652711703139868,5.941431440955704,4.619938682736019,17.947735458655835,97.96043083034147,1.382629287296616,1.382629287296616,90.70492825951342,100,10.497237569060774
01029,14916,13826,410,14,3,367,0,13,283,283,10481,2198,3980,1264,1056,560,14644,2531,14736,14504,91,141,12798,77,53,92.69241083400375,2.7487262000536337,0.09385894341646554,0.02011263073209976,2.460445159560204,0,0.08715473317243229,1.8972914990614105,1.8972914990614105,20.971281366281843,37.97347581337658,12.059917946760805,10.075374487167254,5.343001621982635,17.283529090412454,98.42562432138979,0.9568403908794789,0.9568403908794789,88.2377275234418,84.61538461538461,37.5886524822695
01031,51662,36239,8680,601,745,3763,0,57,1586,1568,35293,4967,9615,6697,5394,2650,50898,7670,50029,48039,889,1101,43668,829,650,70.14633579807207,16.80151755642445,1.163330881498974,1.4420657349696102,7.2838837056250245,0,0.11033254616546011,3.069954705586311,3.0351128489024815,14.07361233105715,27.24336270648571,18.9754342220837,15.283483976992605,7.508571104751651,15.069354395064638,96.0223070619041,2.2007235803234124,2.2007235803234124,90.90114282145757,93.25084364454443,59.03723887375113
01033,54771,42830,8809,319,259,1557,51,29,929,905,38959,5783,14740,4971,4492,2578,54248,8390,54306,53243,409,654,49567,379,444,78.19831662741231,16.08332876887404,0.5824250059337971,0.47287798287414873,2.842745248397875,0.09311496960070109,0.052947727812163364,1.6961530737068888,1.6523342644830292,14.843810159398341,37.83464667984291,12.759567750712286,11.530070073667188,6.617212967478632,15.466007963427222,98.04257356461534,1.204286819136007,1.204286819136007,93.09580602144882,92.66503667481662,67.88990825688074
01035,12394,6203,5919,25,56,84,0,2,105,105,8833,1384,4516,962,724,404,12283,2161,12349,12233,93,23,10667,93,23,50.04841052121994,47.75697918347587,0.20171050508310473,0.4518315313861546,0.6777472970792319,0,0.016136840406648378,0.8471841213490398,0.8471841213490398,15.668515793048796,51.12645760217367,10.89097701800068,8.196535718328994,4.57375750028303,17.59342180249125,99.06065268442788,0.18624989877722892,0.18624989877722892,87.19856126869942,100,100
01037,10757,6970,3615,8,0,109,0,55,0,0,8259,1652,3327,1031,709,350,10353,1399,10348,10295,4,49,9469,4,49,64.79501719810355,33.60602398438226,0.07437017755879892,0,1.0132936692386354,0,0.5112949707167426,0,0,20.002421600678048,40.28332727933164,12.483351495338418,8.584574403680833,4.237801186584332,13.512991403457935,99.4878237340549,0.47352145342095087,0.47352145342095087,91.97668771248179,100,100
01039,37200,30984,4981,22,142,629,34,5,403,403,26324,4366,9819,4439,2599,1421,36348,6756,36647,36337,161,149,32270,161,149,83.29032258064515,13.38978494623656,0.05913978494623656,0.3817204301075269,1.6908602150537633,0.0913978494623656,0.013440860215053764,1.0833333333333335,1.0833333333333335,16.585625284911107,37.30056222458593,16.862938763105912,9.873119586688953,5.3981157878741834,18.586992406734897,99.15409174011516,0.4065817120091686,0.4065817120091686,88.80755153149681,100,100
01041,13844,9827,3202,92,175,110,9,0,429,429,9690,2016,3830,985,1234,453,13623,2065,13611,13419,68,124,12234,68,124,70.98381970528749,23.129153423865933,0.6645478185495521,1.264085524414909,0.7945680439179428,0.06501011268419532,0,3.0988153712799766,3.0988153712799766,20.804953560371516,39.525283797729614,10.165118679050568,12.734778121775026,4.674922600619195,15.158188357924098,98.58937623980604,0.9110278451252664,0.9110278451252664,91.1692376481109,100,100
