GEOID,gisjn_cty,gisjn_st,cty_name,st_name,region,totpop_race,wht_pop,blk_pop,amin_pop,asn_pop,hisp_pop,hpi_pop,oth_pop,two_pop,thr_pop,totpop_ed,LessHS,HSGrad,SomeCol,BADeg,GradDeg,ugrad_pop,gradstd_pop,totpop_intnet,intnet_all_pop,intnet_dial_pop,intnet_brd_pop,intnet_none_pop,medinc,totpop_pov,pov_pop,allcit_pop,nat_pop,fbnat_pop,fb_pop,nat_ins,fbnat_ins,fb_ins,wht_pop_pct,blk_pop_pct,amin_pop_pct,asn_pop_pct,hisp_pop_pct,hpi_pop_pct,oth_pop_pct,two_pop_pct,thr_pop_pct,LessHS_pct,HSGrad_pct,SomeCol_pct,BADeg_pct,GradDeg_pct,ugrad_pct,gradstd_pct,intnet_all_pct,intnet_dial_pct,intnet_brd_pct,intnet_none_pct,pov_pop_pct,nat_pct,fbnat_pct,fb_pct,nat_ins_pct,fbnat_ins_pct,fb_ins_pct
01001,G01001,G01,"Autauga County, Alabama",Alabama,SE,58761,42635,11496,59,636,1864,0,141,2293,1567,40188,3857,12517,6071,6726,5153,2430,400,22308,19883,14,15507,2111,68315,58291,6630,57443,55891,801,751,51880,777,561,72.55662769524004,19.563996528309595,0.10040673235649496,1.0823505386225558,3.172172018856044,0,0.23995507224179305,3.902248089719372,2.6667347390275866,9.597392256394944,31.146113267642082,15.106499452572908,16.736339205733056,12.822235493182044,4.268699715420019,0.7026666198222253,89.12946028330644,0.06275775506544738,69.51317912856373,9.462972924511385,11.373968537166974,97.29819125045698,1.3073829709451108,1.3073829709451108,92.82353151670215,97.00374531835206,74.70039946737683
01003,G01003,G01,"Baldwin County, Alabama",Alabama,SE,233420,192161,19318,512,2046,11210,22,992,8120,6198,167022,14031,46391,27978,33474,20911,7417,1248,90802,80935,193,60567,8127,71039,229539,23445,230074,222082,3821,4171,203046,3420,2136,82.32413674920743,8.276068888698482,0.21934709964870192,0.8765315739868049,4.802501927855368,0.009425070688030161,0.4249850055693599,3.478707908491132,2.655299460200497,8.400689729496714,27.775382883691968,16.751086683191435,20.041671157093077,12.519907557088288,3.2692875624258932,0.5500971926530288,89.13349926213078,0.21255038435276757,66.70227528028016,8.950243386709545,10.21395057049129,96.52633500525918,1.8128949816146112,1.8128949816146112,91.42839131491971,89.50536508767338,51.21074082953728
01005,G01005,G01,"Barbour County, Alabama",Alabama,SE,24877,11084,11662,63,126,1202,3,290,493,401,17675,4155,6507,2473,1167,933,841,177,9016,6151,0,3671,2194,39712,21851,5280,21892,21149,315,428,19285,119,140,44.55521164127507,46.878642923182056,0.2532459701732524,0.5064919403465048,4.831772319813482,0.012059331913012018,1.1657354182578286,1.9817502110383085,1.6119306990392732,23.50777934936351,36.814710042432814,13.991513437057993,6.602545968882602,5.278642149929278,3.4793761118695956,0.7322824872781433,68.2231588287489,0,40.71650399290151,24.334516415261756,24.16365383735298,96.60606614288324,1.9550520738169195,1.9550520738169195,91.18634450801456,37.77777777777778,32.71028037383177
01007,G01007,G01,"Bibb County, Alabama",Alabama,SE,22251,16520,4598,15,69,650,0,17,415,349,15925,3366,6510,2032,1047,692,461,98,7216,5755,3,2798,1391,50669,20836,4297,20850,20610,122,118,18881,122,87,74.2438542087996,20.664239809446766,0.06741270055278414,0.31009842254280706,2.9212170239539796,0,0.0764010606264887,1.8650847152936947,1.5684688328614445,21.13657770800628,40.879120879120876,12.759811616954476,6.574568288854003,4.345368916797488,2.130314232902033,0.4528650646950093,79.75332594235033,0.041574279379157426,38.77494456762749,19.27660753880266,20.622960261086583,98.84892086330936,0.565947242206235,0.565947242206235,91.61086851043183,100,73.72881355932203
01009,G01009,G01,"Blount County, Alabama",Alabama,SE,59077,50614,729,75,100,5721,117,87,2115,1153,40817,7447,14414,7975,3840,2177,1754,326,21626,17972,82,11207,3243,57440,58399,8277,58587,55758,966,1863,50881,737,1021,85.67462802782809,1.2339827682516038,0.12695295969666706,0.16927061292888942,9.683971765661765,0.1980466171268006,0.1472654332481338,3.580073463446011,1.951690167070095,18.24484895999216,35.313717323664164,19.538427615944336,9.407844770561285,5.333561996227062,3.072072861021105,0.570978194237674,83.10367150651993,0.3791732174234717,51.82188106908351,14.995838342735595,14.173187897053033,95.17128373188591,3.179886322904399,3.179886322904399,91.25327307292227,76.29399585921325,54.8040794417606
01011,G01011,G01,"Bullock County, Alabama",Alabama,SE,10328,2125,7117,0,43,907,0,0,206,66,7156,1905,2957,587,492,179,414,19,3450,2125,20,1427,1100,36136,9616,2687,9640,9291,98,251,8327,0,137,20.575135553834237,68.90975987606507,0,0.4163439194422928,8.781951975213014,0,0,1.994577846630519,0.6390395042602633,26.621017328116263,41.32196757965344,8.202906651760761,6.875349357182784,2.5013974287311345,4.140828165633127,0.1900380076015203,61.59420289855072,0.5797101449275363,41.36231884057971,31.88405797101449,27.943011647254572,96.37966804979253,2.603734439834025,2.603734439834025,89.62436766763534,0,54.581673306772906
01013,G01013,G01,"Butler County, Alabama",Alabama,SE,18981,9655,8462,69,243,322,0,8,230,214,13266,1646,6364,1728,1029,702,624,57,7131,5606,7,3710,1196,44429,18652,3937,18686,18364,164,158,16358,117,158,50.866656129814025,44.58142352879195,0.3635214161529951,1.2802275960170697,1.696433275380644,0,0.0421474105684632,1.211738053843317,1.1274432327063906,12.407658676315393,47.97225991255842,13.025780189959294,7.75667118950701,5.291723202170964,3.4197402312708935,0.31238011727955284,78.61450007011639,0.0981629504978264,52.02636376384798,16.771841256485768,21.107656015440703,98.27678475864283,0.8455528202932676,0.8455528202932676,89.07645393160531,71.34146341463415,100
01015,G01015,G01,"Calhoun County, Alabama",Alabama,SE,116162,81851,25204,174,708,4736,207,427,3061,2649,78931,11783,27278,11710,9098,6020,7125,821,44693,37295,47,27331,6493,54339,112350,20267,114576,111916,1228,1432,100163,1107,876,70.46280194900226,21.697284826363184,0.14979080938689074,0.6094936381949346,4.077064788829393,0.1781994111671631,0.36759008970231233,2.6351130318004166,2.280435942907319,14.928228452699194,34.55929862791552,14.835742610634606,11.526523165803043,7.626914646970138,6.337389262461309,0.7302451346639627,83.44707224845054,0.10516188217394222,61.152753227574784,14.528002147987381,18.039163328882953,97.67839687194527,1.2498254433738305,1.2498254433738305,89.49837378033524,90.14657980456026,61.1731843575419
01017,G01017,G01,"Chambers County, Alabama",Alabama,SE,34612,18794,14107,10,60,1129,3,63,455,437,24706,4087,9763,4087,2273,873,1362,189,13143,10324,51,8177,2528,48805,34008,6080,34130,33622,166,342,30104,133,209,54.29908702184214,40.75754073731654,0.028891713856465967,0.17335028313879577,3.2618744943950078,0.008667514156939789,0.18201779729573558,1.3145729804692015,1.2625678955275628,16.542540273617746,39.51671658706387,16.542540273617746,9.20019428478912,3.5335546021209425,4.0754039497307,0.5655296229802513,78.5513200943468,0.3880392604428213,62.21562809099901,19.23457353724416,17.87814631851329,98.51157339583943,1.002050981541166,1.002050981541166,89.53661293200881,80.12048192771084,61.111111111111114
01019,G01019,G01,"Cherokee County, Alabama",Alabama,SE,25069,22749,1000,113,21,479,0,16,798,584,18523,3348,6678,3219,1530,1173,934,182,9997,7814,34,4504,1957,46621,24658,3516,24779,24286,157,336,21951,157,138,90.74554230324306,3.9889903865331684,0.4507559136782481,0.08376879811719654,1.9107263951493876,0,0.0638238461845307,3.183214328453469,2.3295703857353702,18.074825892134104,36.052475300977164,17.37839442854829,8.260001079738704,6.332667494466339,3.837304847986853,0.7477403451109285,78.16344903471041,0.34010203060918276,45.05351605481644,19.575872761828546,14.259063995457863,98.01041204245531,1.3559869244118001,1.3559869244118001,90.38540723050316,100,41.07142857142857
