row,Alabama,Georgia,Mississippi,South Carolina
1,32.43548387,34.12903226,33.87096774,33.88709677
2,31.96774194,34.35483871,32.56451613,33.83870968
3,32.41935484,33.61290323,34.24193548,34.48387097
4,32.11290323,32.66129032,34.75806452,34.27419355
5,32.08064516,32.5483871,34.38709677,33.93548387
6,34.19354839,33.79032258,34.38709677,32.64516129
7,32.17741935,33.88709677,35.01612903,34.24193548
8,33.79032258,32.24193548,31.82258065,34.90322581
9,32.24193548,33.5483871,34.56451613,34.16129032
10,33.66129032,32.38709677,35.09677419,33.80645161
11,33.80645161,31.64516129,34.91935484,34.09677419
12,31.62903226,33.41935484,32.16129032,34.5
13,34.30645161,34.53225806,33.0483871,34.53225806
14,31.93548387,33.19354839,34.43548387,34.11290323
15,33.98387097,33.87096774,33.4516129,33.77419355
16,33.25806452,32.38709677,32.79032258,32.51612903
17,32.85483871,33.98387097,34.27419355,34.41935484
18,32.48387097,33.9516129,33.85483871,34.56451613
19,31.20967742,33.98387097,33.61290323,34.19354839
20,33.64516129,34.32258065,35.35483871,33.27419355
21,33.53225806,33.75806452,33.93548387,34.12903226
22,32.79032258,34.22580645,34.14516129,33.9516129
23,34.27419355,32.11290323,32.33870968,32.4516129
24,33.66129032,34.62903226,33.24193548,33.69354839
25,32.08064516,32.79032258,32.9516129,33.46774194
26,34.25806452,34.51612903,33.11290323,33.5483871
27,32.79032258,34.43548387,34.70967742,34.5
28,33.96774194,33.66129032,34.24193548,34.06451613
29,34.19354839,32.9516129,34.40322581,32.88709677
30,33.19354839,34.03225806,33.62903226,34.20967742
