seqnum,latitude,longitud,tmeanjul,tmeanyr,precpyr,Picea,Abies,Juniper,Pinus,Betula,Fraxinus,Quercus,Ulmus,Acer,Juglans,Carya,Tsuga,Fagus,Alnus,Herbsum,Region,Region_fac
9,43.51699829,-91.94999695,22,7.599999905,72.72000122,0.379999995,0,0.629999995,6.690000057,6.940000057,1.00999999,54.54000092,8.329999924,0,2.529999971,1.639999986,0,0,0,17.29999924,3,R3
91,47.20000076,-94.15000153,0,4.300000191,62.75999832,2.680000067,1.340000033,1.610000014,41.81999969,15.01000023,1.070000052,14.21000004,1.879999995,1.610000014,0,0,0,0,5.090000153,13.67000008,1,R1
92,47.18299866,-94.91699982,0,4.599999905,63.45000076,1.090000033,0.649999976,0,55.56000137,14.81000042,0.870000005,9.369999886,0.870000005,0.219999999,0,0,0,0,7.630000114,8.930000305,1,R1
110,44.29999924,-93.73300171,0,7.900000095,71.52999878,0.180000007,0,0.709999979,7.760000229,2.119999886,1.75999999,35.79999924,14.81000042,2.470000029,1.059999943,2.119999886,0.180000007,0,1.409999967,29.62999916,1,R1
111,44.34999847,-93.61699677,0,8,70.02999878,0,0,0.239999995,11.67000008,3.329999924,1.899999976,43.56999969,7.860000134,1.190000057,0.239999995,0.949999988,0,0,1.429999948,27.62000084,1,R1
115,44.68299866,-93.5,0,6.800000191,72.76999664,0.449999988,0,0.230000004,9.050000191,3.390000105,1.360000014,38.00999832,16.73999977,3.170000076,0.449999988,0.680000007,0.230000004,0,1.129999995,25.11000061,1,R1
117,44.68299866,-93.33300018,0,7.199999809,72.29000092,0,0,0.270000011,6.590000153,2.200000048,1.919999957,54.95000076,8.239999771,1.100000024,0,0.819999993,0,0,0.819999993,23.07999992,1,R1
119,44.76699829,-93.11699677,0,6.5,72.38999939,0.219999999,0,0,9.979999542,2.880000114,0.889999986,49.66999817,7.980000019,0.439999998,1.330000043,1.330000043,0,0,0.670000017,24.61000061,1,R1
120,44.86700058,-93.09999847,0,6.599999905,62.93999863,0.529999971,0,0.180000007,6.5,2.460000038,1.049999952,21.44000053,13.01000023,1.75999999,0.529999971,0.349999994,0,0,1.580000043,50.61999893,1,R1
123,45.43299866,-93.98300171,0,5.599999905,65.83999634,0,0.189999998,0.189999998,14.11999989,3.769999981,1.50999999,33.52000046,6.210000038,0.75,0.75,0.560000002,0,0,2.819999933,35.59000015,1,R1
124,45.33300018,-93.5,0,6.199999809,70.66000366,0.730000019,0,0.239999995,15.64999962,6.599999905,0.49000001,44.25,4.400000095,0.980000019,0,0.239999995,0,0,4.400000095,22,1,R1
127,45.56700134,-93.40000153,0,5.800000191,68.33000183,0.449999988,0,0.219999999,16.04000092,8.020000458,1.559999943,42.31999969,4.900000095,0.449999988,0.449999988,0,0,0,4.230000019,21.37999916,1,R1
129,45.75,-93.36699677,0,6.099999905,71.30000305,1.110000014,0,1.110000014,37.04999924,7.519999981,4.739999771,22.84000015,4.739999771,1.110000014,1.389999986,0.560000002,0,0,5.570000172,12.26000023,1,R1
130,45.78300095,-93.26699829,0,5.800000191,71.52999878,0,0.600000024,0,64.77999878,7.760000229,0.300000012,16.42000008,1.49000001,0.600000024,0,0.300000012,0,0,2.390000105,5.369999886,1,R1
132,46.13299942,-93.69999695,0,5.599999905,65.25,3.069999933,0.310000002,1.840000033,57.36000061,12.57999992,2.450000048,10.11999989,0,0.610000014,0.610000014,0,0,0,0.310000002,10.73999977,1,R1
133,46.08300018,-93.09999847,0,5.400000095,71.30000305,1.309999943,0.790000021,0.25999999,58.90000153,15.18000031,0.790000021,8.640000343,2.089999914,1.570000052,0,0,0,0,2.089999914,8.380000114,1,R1
134,46.34999847,-92.86699677,0,4.599999905,69.84999847,0.270000011,1.590000033,0,63.65999985,19.10000038,0.529999971,5.570000172,1.590000033,0.800000012,0.270000011,0,0.270000011,0,2.650000095,3.710000038,1,R1
136,46.63299942,-92.61699677,0,4,73.95999908,2.200000048,1.100000024,0,54.81999969,19.28000069,1.100000024,7.440000057,1.379999995,0.550000012,0,0,0.280000001,0,3.859999895,7.989999771,1,R1
137,47.46699905,-92.43299866,0,4.099999905,68.34999847,3.130000114,2.190000057,0,68.12999725,10,0.310000002,2.809999943,0.939999998,0,0,0,0,0,5.940000057,6.559999943,1,R1
138,47.91699982,-91.86699677,0,3.599999905,69.62000275,8.100000381,0.709999979,2.619999886,54.04999924,13.10000038,0.479999989,2.380000114,0.949999988,0,0,0.239999995,0,0,6.900000095,10.47999954,1,R1
141,47.95000076,-90.90000153,19,2.400000095,64.26000214,17.38999939,0.870000005,3.910000086,30,25.64999962,0,2.170000076,0,0.870000005,0,0,0,0,13.03999996,6.090000153,1,R1
301,49.33300018,-92.66699982,0,1.600000024,70.18000031,28.64999962,0,0,60.31999969,5.690000057,0,0.529999971,0.360000014,0,0,0,0,0,2.49000001,1.960000038,1,R1
325,44.15000153,-91.73300171,0,7.900000095,74.55000305,0.879999995,0,0,11.39999962,20.18000031,0.879999995,30.70000076,6.139999866,2.630000114,0.879999995,0,0.439999998,0,0.879999995,25,3,R3
332,44.70000076,-92,0,7.300000191,77.94999695,0.930000007,0.469999999,2.339999914,10.75,8.409999847,0.930000007,32.70999908,7.940000057,3.269999981,0,0.469999999,0,0,2.799999952,28.96999931,3,R3
336,45.06700134,-91.08300018,0,5.699999809,79.80999756,0.589999974,0.889999986,1.779999971,36.79999924,21.06999969,2.079999924,15.72999954,2.369999886,0.889999986,0,0.889999986,2.079999924,0,2.670000076,12.17000008,2,R2
337,45.09999847,-91.33300018,0,6.300000191,74.87999725,1.480000019,0.889999986,0.889999986,38.86999893,12.17000008,2.079999924,22.26000023,2.670000076,0,0,0.889999986,0.589999974,0,3.859999895,13.35000038,2,R2
341,45.41699982,-91.31700134,0,5.400000095,80.56999969,1.519999981,0.50999999,2.029999971,39.84999847,13.96000004,2.029999971,19.29000092,2.279999971,1.269999981,0.25,0.75999999,0.75999999,0.25,4.059999943,11.17000008,2,R2
343,45.5,-91.06700134,0,5.900000095,75.58999634,0.800000012,0.800000012,1.590000033,37.65000153,22.70999908,1.590000033,14.14000034,2.789999962,0,0,0.400000006,2.589999914,0.200000003,2.390000105,12.35000038,2,R2
345,46.03300095,-89.68299866,0,4.900000095,83.58999634,2.25,1.379999995,1.039999962,37.31000137,29.19000053,1.210000038,14.15999985,1.549999952,1.379999995,0.170000002,0.349999994,0.860000014,0.349999994,3.799999952,5.010000229,2,R2
349,45.90000153,-89.46700287,0,4.400000095,80.98000336,4.679999828,1,0,44.47999954,28.76000023,1,6.019999981,0.330000013,1,0,0,3.00999999,0,4.349999905,5.349999905,2,R2
350,46.03300095,-89.16699982,0,4.400000095,80.63999939,1.309999943,1.049999952,1.309999943,46.06999969,26.18000031,0.519999981,8.119999886,1.049999952,1.570000052,0,0,3.660000086,0.25999999,4.190000057,4.710000038,2,R2
352,45.91699982,-88.13300323,0,4.699999809,76.66000366,1.269999981,1.590000033,3.819999933,45.86000061,19.43000031,1.909999967,11.14999962,0.959999979,0.959999979,0.639999986,0,0.959999979,0,4.139999866,7.320000172,2,R2
366,45.58300018,-88.68299866,0,5.199999809,75.05999756,2.680000067,1.00999999,0,13.76000023,35.22999954,2.349999905,9.399999619,5.369999886,3.359999895,0,0.670000017,9.06000042,0,8.390000343,8.720000267,2,R2
370,45.41699982,-89.25,0,5.199999809,78.61000061,1.350000024,0.680000007,0.449999988,39.40999985,30.86000061,1.799999952,8.109999657,3.599999905,2.029999971,0,0,3.829999924,0.449999988,2.700000048,4.730000019,2,R2
371,45.15000153,-88.98300171,0,6.099999905,78.27999878,0.340000004,0.340000004,2.400000095,22.59000015,28.75,0,9.579999924,4.789999962,4.789999962,0,0.029999999,14.36999989,0.029999999,2.74000001,9.239999771,2,R2
372,45.04999924,-88.51699829,0,6.300000191,72.56999969,0.349999994,0.349999994,0,38.06000137,21.79999924,0.689999998,12.10999966,5.190000057,1.379999995,0.689999998,0.349999994,6.230000019,0,4.150000095,8.649999619,2,R2
375,44.88299942,-89.26699829,22,7.099999905,83.91999817,0.920000017,0.180000007,1.480000019,41.13999939,19.93000031,1.850000024,12.72999954,2.579999924,3.319999933,0.370000005,0.550000012,2.769999981,0.370000005,1.659999967,10.14999962,2,R2
378,44.81700134,-88.86699677,0,7.199999809,77.37000275,0.790000021,0.389999986,1.379999995,36.09000015,17.75,1.970000029,11.23999977,4.929999828,2.960000038,0.200000003,0.589999974,7.690000057,0.389999986,5.329999924,8.279999733,2,R2
380,44.68299866,-88.68299866,0,6.800000191,75.81999969,1,0,1.49000001,43.27999878,17.15999985,2.49000001,14.93000031,3.480000019,2.99000001,0.5,0.5,5.71999979,1.74000001,2.74000001,1.99000001,2,R2
384,44.38299942,-88.93299866,0,7.599999905,75.72000122,0,0,0,22.06999969,16.29000092,1.350000024,37.27999878,10.5,0.270000011,0.670000017,1.75,0.670000017,0,2.420000076,6.730000019,2,R2
388,44.09999847,-89.30000305,22,7.400000095,74.84999847,0,0,0,8.260000229,14.68000031,0.920000017,59.16999817,5.050000191,0.460000008,0,1.830000043,0,0,2.289999962,7.340000153,2,R2
390,43.58300018,-88.90000153,0,7.699999809,73.36000061,0,0,0,9.600000381,3.410000086,0,19.80999947,4.639999866,1.860000014,0.930000007,1.860000014,0,0,0.620000005,57.27999878,3,R3
391,43.41699982,-89.71700287,0,7.300000191,82.65000153,0.389999986,0,0,14.11999989,10.19999981,0,56.86000061,0.779999971,0,0.779999971,5.489999771,0,0,0.779999971,10.59000015,3,R3
392,43.29999924,-89.65000153,23,8.100000381,73.08000183,0,0,0,6.639999866,8.590000153,0.779999971,58.20000076,3.130000114,3.130000114,1.559999943,7.809999943,0,0,1.950000048,8.199999809,3,R3
394,42.95000076,-90.44999695,0,8.100000381,85.44999695,0,0.49000001,0,3.940000057,6.400000095,0.99000001,40.38999939,7.880000114,0,0.99000001,0.49000001,0,0,0.49000001,37.93000031,3,R3
396,42.96699905,-90.05000305,0,7.599999905,84.15000153,0,0,0,0.930000007,5.579999924,1.399999976,56.27999878,2.789999962,0,0.469999999,1.860000014,0,0,0.469999999,30.22999954,3,R3
397,43.01699829,-89.75,0,7.5,80.38999939,0,0,0,5.210000038,5.730000019,0.519999981,63.02000046,2.599999905,0,2.079999924,7.809999943,0,0,0,13.02000046,3,R3
402,42.88299942,-89.25,0,8.100000381,76.83000183,0.779999971,0,0,7.78000021,1.950000048,0,64.58999634,2.720000029,1.559999943,0.779999971,3.109999895,0,0,1.169999957,15.56000042,3,R3
404,42.90000153,-89,0,8.300000191,78.41000366,0.689999998,0,0,4.510000229,2.430000067,0.689999998,25.69000053,4.860000134,2.079999924,0.349999994,1.039999962,0,0,0.689999998,56.93999863,3,R3
406,43.06700134,-88.93299866,0,8.600000381,79.95999908,0,0,0,11.02000046,3.269999981,0.409999996,55.09999847,4.900000095,1.629999995,0.409999996,4.079999924,1.220000029,0,1.220000029,16.72999954,3,R3
411,46.78300095,-88,0,6.400000095,73.48000336,0.74000001,0.74000001,1.470000029,14.46000004,48.04000092,0.74000001,6.369999886,3.190000057,10.28999996,0.25,0,6.130000114,0,4.170000076,3.430000067,2,R2
432,45.18299866,-85.28299713,0,7.300000191,82.16999817,0.349999994,0,0.709999979,14.18000031,17.02000046,0.709999979,8.510000229,10.27999973,8.159999847,0,0.709999979,17.37999916,12.40999985,4.610000134,4.960000038,4,R4
438,44.75,-85.71700287,0,7.599999905,74.56999969,0,0,1.809999943,17.32999992,13.35999966,2.890000105,16.96999931,7.21999979,6.860000134,0,0.720000029,6.5,11.90999985,0.720000029,13.72000027,4,R4
439,44.63299942,-85.16699982,0,6.400000095,78.55999756,0,0.899999976,0,46.54999924,8.710000038,1.200000048,9.909999847,3.299999952,3.599999905,0.300000012,0.300000012,9.010000229,8.710000038,2.099999905,5.409999847,4,R4
444,44.43299866,-86,20,7.599999905,71.62999725,0,0,1.210000038,24.85000038,10.60999966,3.640000105,12.11999989,9.390000343,3.329999924,0,0.300000012,13.32999992,8.180000305,4.849999905,8.180000305,4,R4
445,44.20000076,-85.96700287,0,7.099999905,77.37000275,0.270000011,0,0.270000011,43.56000137,6.579999924,0.550000012,21.63999939,5.210000038,2.470000029,0.550000012,0.270000011,6.300000191,1.919999957,2.74000001,7.670000076,4,R4
446,44.31700134,-85.33300018,0,6.099999905,79.16999817,0.699999988,0.349999994,0.349999994,56.63999939,4.550000191,0.699999988,13.28999996,2.799999952,1.75,0.349999994,0,5.940000057,4.199999809,1.399999976,6.989999771,4,R4
450,43.98300171,-86.31700134,0,8.100000381,75.55999756,0.629999995,0.319999993,1.25999999,28.38999939,10.09000015,2.210000038,28.38999939,2.210000038,4.420000076,0.949999988,1.25999999,4.730000019,3.789999962,1.580000043,9.779999733,4,R4
452,44,-85.41699982,0,7.199999809,76.61000061,0.280000001,0,0.850000024,30.42000008,9.859999657,2.25,19.71999931,5.630000114,3.660000086,0.850000024,0.280000001,4.510000229,6.480000019,3.940000057,11.27000046,4,R4
456,43.70000076,-85.86699677,0,7.400000095,81.48000336,0,0.360000014,0.720000029,37.54999924,9.029999733,2.170000076,33.20999908,3.609999895,3.25,0.720000029,1.080000043,1.809999943,0.360000014,1.440000057,4.690000057,4,R4
457,43.68299866,-85.40000153,21,7.800000191,79.95999908,0,0,0.660000026,45.72000122,8.550000191,1.970000029,22.04000092,3.619999886,0,0,0.99000001,4.610000134,6.909999847,1.320000052,3.619999886,4,R4
464,43.16699982,-85.84999847,0,8.399999619,81.30999756,0,0,1.340000033,20.12999916,3.019999981,5.369999886,31.20999908,6.710000038,5.699999809,0.670000017,1.679999948,1.00999999,7.380000114,2.349999905,13.42000008,4,R4
471,42.83300018,-85.46700287,0,8.800000191,79.22000122,0,0,0.449999988,11.60999966,1.789999962,3.569999933,53.13000107,7.590000153,2.680000067,0.889999986,3.130000114,0.449999988,2.230000019,0.889999986,11.60999966,4,R4
475,42.58300018,-86.13300323,0,9.600000381,85.22000122,0,0,0.370000005,15.67000008,7.090000153,4.480000019,33.95999908,5.599999905,3.359999895,0.75,4.480000019,2.24000001,11.93999958,3.359999895,6.71999979,4,R4
476,42.54999924,-85.41699982,0,9.5,82.31999969,0,0,0.519999981,5.150000095,3.609999895,3.089999914,53.86999893,7.730000019,0.769999981,0.519999981,4.639999866,1.029999971,2.059999943,1.549999952,15.46000004,4,R4
486,42.31700134,-85.51699829,0,10.10000038,87.58000183,0.439999998,0,1.330000043,7.519999981,2.650000095,2.650000095,47.79000092,7.519999981,5.75,0,3.099999905,0.439999998,3.539999962,1.330000043,15.93000031,4,R4
489,42.08300018,-86.18299866,0,10.10000038,90.13999939,0,0,0,5.289999962,1.389999986,4.179999828,56.54999924,5.289999962,3.619999886,1.669999957,1.669999957,0,7.239999771,0.280000001,12.81000042,4,R4
490,41.95000076,-85.69999695,0,9.899999619,90.34999847,0.829999983,0,1.24000001,6.610000134,2.890000105,5.369999886,47.52000046,6.199999809,3.720000029,2.069999933,2.890000105,0.409999996,0.829999983,0.829999983,18.60000038,4,R4
493,41.23300171,-86.63300323,0,10.39999962,93.44999695,1.690000057,0,3.380000114,1.690000057,1.690000057,7.429999828,69.26000214,1.690000057,1.690000057,0.680000007,1.350000024,0,1.690000057,0.340000004,7.429999828,4,R4
511,49.65000153,-93.73300171,0,2.099999905,64.72000122,13,0.660000026,0.439999998,64.76000214,7.489999771,0.219999999,0.879999995,0,0,0,0,0,0,7.269999981,5.289999962,1,R1
512,46.18299866,-89.69999695,0,4.599999905,88.81999969,2.269999981,1.299999952,9.090000153,28.89999962,25,0.649999976,3.900000095,0.649999976,1.950000048,0.319999993,0,6.489999771,0,7.139999866,12.34000015,2,R2
878,49.46699905,-91.31700134,0,0.800000012,83.11000061,28.94000053,1.929999948,0,57.88000107,4.179999828,0,0,0,0,0,0,0,0,4.5,2.569999933,1,R1
891,49.65000153,-87.25,0,0.800000012,74.29000092,35.59000015,3.049999952,0,54.24000168,2.710000038,0,0,0.340000004,0,0,0,0,0,3.390000105,0.680000007,2,R2
892,49.71699905,-85.15000153,0,0.200000003,79.25,53.63999939,2.420000076,0,30.29999924,5.760000229,0,0.300000012,0,0,0,0,0,0,5.760000229,1.820000052,2,R2
897,48.33300018,-88.80000305,0,2.400000095,73.83999634,15.28999996,2.549999952,0,33.11999893,33.75999832,0,0.639999986,0,0.319999993,0,0,0,0,9.869999886,4.460000038,2,R2
899,46.18299866,-89.69999695,0,4.400000095,87.69999695,1.350000024,1.690000057,6.760000229,33.11000061,26.35000038,1.350000024,4.730000019,1.350000024,2.359999895,0.340000004,0.340000004,7.769999981,0,2.700000048,9.800000191,2,R2
900,45.20000076,-91.28299713,0,5.699999809,79.06999969,0,0,2.5,32.08000183,13.75,1.669999957,25,5.829999924,2.920000076,0,1.669999957,0.419999987,0,1.669999957,12.5,2,R2
901,43.41699982,-88,0,8.100000381,76.08999634,0,0,0.50999999,2.529999971,23.22999954,2.019999981,30.80999947,13.13000011,0,1.00999999,2.019999981,0.50999999,1.00999999,4.550000191,18.69000053,3,R3
904,43.15000153,-88.43299866,22,8.300000191,78.30999756,1.110000014,0,0,4.440000057,1.669999957,2.779999971,55.56000137,11.67000008,1.669999957,0,5,0,0,1.110000014,15,3,R3
905,42.93299866,-88.5,0,8.199999809,77.76999664,0,0,0,7.340000153,5.050000191,0.920000017,69.72000122,0.920000017,0.460000008,0,3.670000076,0,0.460000008,3.210000038,8.260000229,3,R3
