name,label,concept,geography
B03002_001,Estimate!!Total:,Hispanic or Latino Origin by Race,NA
B03002_002,Estimate!!Total:!!Not Hispanic or Latino:,Hispanic or Latino Origin by Race,NA
B03002_003,Estimate!!Total:!!Not Hispanic or Latino:!!White alone,Hispanic or Latino Origin by Race,NA
B03002_004,Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone,Hispanic or Latino Origin by Race,NA
B03002_005,Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone,Hispanic or Latino Origin by Race,NA
B03002_006,Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone,Hispanic or Latino Origin by Race,NA
B03002_007,Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,Hispanic or Latino Origin by Race,NA
B03002_008,Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone,Hispanic or Latino Origin by Race,NA
B03002_009,Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:,Hispanic or Latino Origin by Race,NA
B03002_010,Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,Hispanic or Latino Origin by Race,NA
B03002_011,"Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",Hispanic or Latino Origin by Race,NA
B03002_012,Estimate!!Total:!!Hispanic or Latino:,Hispanic or Latino Origin by Race,NA
B03002_013,Estimate!!Total:!!Hispanic or Latino:!!White alone,Hispanic or Latino Origin by Race,NA
B03002_014,Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone,Hispanic or Latino Origin by Race,NA
B03002_015,Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone,Hispanic or Latino Origin by Race,NA
B03002_016,Estimate!!Total:!!Hispanic or Latino:!!Asian alone,Hispanic or Latino Origin by Race,NA
B03002_017,Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,Hispanic or Latino Origin by Race,NA
B03002_018,Estimate!!Total:!!Hispanic or Latino:!!Some other race alone,Hispanic or Latino Origin by Race,NA
B03002_019,Estimate!!Total:!!Hispanic or Latino:!!Two or more races:,Hispanic or Latino Origin by Race,NA
B03002_020,Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race,Hispanic or Latino Origin by Race,NA
B03002_021,"Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",Hispanic or Latino Origin by Race,NA
B14001_001,Estimate!!Total:,School Enrollment by Level of School for the Population 3 Years and Over,NA
B14001_002,Estimate!!Total:!!Enrolled in school:,School Enrollment by Level of School for the Population 3 Years and Over,NA
B14001_003,"Estimate!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool",School Enrollment by Level of School for the Population 3 Years and Over,NA
B14001_004,Estimate!!Total:!!Enrolled in school:!!Enrolled in kindergarten,School Enrollment by Level of School for the Population 3 Years and Over,NA
B14001_005,Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 1 to grade 4,School Enrollment by Level of School for the Population 3 Years and Over,NA
B14001_006,Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 5 to grade 8,School Enrollment by Level of School for the Population 3 Years and Over,NA
B14001_007,Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 9 to grade 12,School Enrollment by Level of School for the Population 3 Years and Over,NA
B14001_008,"Estimate!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years",School Enrollment by Level of School for the Population 3 Years and Over,NA
B14001_009,Estimate!!Total:!!Enrolled in school:!!Graduate or professional school,School Enrollment by Level of School for the Population 3 Years and Over,NA
B14001_010,Estimate!!Total:!!Not enrolled in school,School Enrollment by Level of School for the Population 3 Years and Over,NA
B15003_001,Estimate!!Total:,Educational Attainment for the Population 25 Years and Over,NA
B15003_002,Estimate!!Total:!!No schooling completed,Educational Attainment for the Population 25 Years and Over,NA
B15003_003,Estimate!!Total:!!Nursery school,Educational Attainment for the Population 25 Years and Over,NA
B15003_004,Estimate!!Total:!!Kindergarten,Educational Attainment for the Population 25 Years and Over,NA
B15003_005,Estimate!!Total:!!1st grade,Educational Attainment for the Population 25 Years and Over,NA
B15003_006,Estimate!!Total:!!2nd grade,Educational Attainment for the Population 25 Years and Over,NA
B15003_007,Estimate!!Total:!!3rd grade,Educational Attainment for the Population 25 Years and Over,NA
B15003_008,Estimate!!Total:!!4th grade,Educational Attainment for the Population 25 Years and Over,NA
B15003_009,Estimate!!Total:!!5th grade,Educational Attainment for the Population 25 Years and Over,NA
B15003_010,Estimate!!Total:!!6th grade,Educational Attainment for the Population 25 Years and Over,NA
B15003_011,Estimate!!Total:!!7th grade,Educational Attainment for the Population 25 Years and Over,NA
B15003_012,Estimate!!Total:!!8th grade,Educational Attainment for the Population 25 Years and Over,NA
B15003_013,Estimate!!Total:!!9th grade,Educational Attainment for the Population 25 Years and Over,NA
B15003_014,Estimate!!Total:!!10th grade,Educational Attainment for the Population 25 Years and Over,NA
B15003_015,Estimate!!Total:!!11th grade,Educational Attainment for the Population 25 Years and Over,NA
B15003_016,"Estimate!!Total:!!12th grade, no diploma",Educational Attainment for the Population 25 Years and Over,NA
B15003_017,Estimate!!Total:!!Regular high school diploma,Educational Attainment for the Population 25 Years and Over,NA
B15003_018,Estimate!!Total:!!GED or alternative credential,Educational Attainment for the Population 25 Years and Over,NA
B15003_019,"Estimate!!Total:!!Some college, less than 1 year",Educational Attainment for the Population 25 Years and Over,NA
B15003_020,"Estimate!!Total:!!Some college, 1 or more years, no degree",Educational Attainment for the Population 25 Years and Over,NA
B15003_021,Estimate!!Total:!!Associate's degree,Educational Attainment for the Population 25 Years and Over,NA
B15003_022,Estimate!!Total:!!Bachelor's degree,Educational Attainment for the Population 25 Years and Over,NA
B15003_023,Estimate!!Total:!!Master's degree,Educational Attainment for the Population 25 Years and Over,NA
B15003_024,Estimate!!Total:!!Professional school degree,Educational Attainment for the Population 25 Years and Over,NA
B15003_025,Estimate!!Total:!!Doctorate degree,Educational Attainment for the Population 25 Years and Over,NA
B17025_001,Estimate!!Total:,Poverty Status in the Past 12 Months by Nativity,NA
B17025_002,Estimate!!Total:!!Income in the past 12 months below poverty level:,Poverty Status in the Past 12 Months by Nativity,NA
B17025_003,Estimate!!Total:!!Income in the past 12 months below poverty level:!!Native:,Poverty Status in the Past 12 Months by Nativity,NA
B17025_004,Estimate!!Total:!!Income in the past 12 months below poverty level:!!Native:!!Born in the United States,Poverty Status in the Past 12 Months by Nativity,NA
B17025_005,Estimate!!Total:!!Income in the past 12 months below poverty level:!!Native:!!Born outside the United States,Poverty Status in the Past 12 Months by Nativity,NA
B17025_006,Estimate!!Total:!!Income in the past 12 months below poverty level:!!Foreign born:,Poverty Status in the Past 12 Months by Nativity,NA
B17025_007,Estimate!!Total:!!Income in the past 12 months below poverty level:!!Foreign born:!!Naturalized citizen,Poverty Status in the Past 12 Months by Nativity,NA
B17025_008,Estimate!!Total:!!Income in the past 12 months below poverty level:!!Foreign born:!!Not a citizen,Poverty Status in the Past 12 Months by Nativity,NA
B17025_009,Estimate!!Total:!!Income in the past 12 months at or above poverty level:,Poverty Status in the Past 12 Months by Nativity,NA
B17025_010,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Native:,Poverty Status in the Past 12 Months by Nativity,NA
B17025_011,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Native:!!Born in the United States,Poverty Status in the Past 12 Months by Nativity,NA
B17025_012,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Native:!!Born outside the United States,Poverty Status in the Past 12 Months by Nativity,NA
