gisjn_cty,year,month,dayl,srad,tmax,tmin,vap_pres,prcp,CTY_NAME,State,Region,Division,Lon,Lat
G13059,2013,Apr,46321.9,420.8,22.41666667,8.85,1170.666667,100,Clarke,Georgia,South Region,South Atlantic Division,-83.36658617,33.95069713
G13059,2013,Aug,47603.58065,358.8129032,29.0483871,19.70967742,2308.387097,116,Clarke,Georgia,South Region,South Atlantic Division,-83.36658617,33.95069713
G13059,2013,Dec,35195.48387,218.2193548,13.77419355,2.935483871,816.7741935,195,Clarke,Georgia,South Region,South Atlantic Division,-83.36658617,33.95069713
G13059,2013,Feb,38781.25,293.7142857,12.83928571,0.910714286,670,164,Clarke,Georgia,South Region,South Atlantic Division,-83.36658617,33.95069713
G13059,2013,Jan,36065,258.1677419,14.93548387,3.596774194,850.3225806,120,Clarke,Georgia,South Region,South Atlantic Division,-83.36658617,33.95069713
G13059,2013,July,50446.48387,338.683871,29.40322581,20.03225806,2340.645161,314,Clarke,Georgia,South Region,South Atlantic Division,-83.36658617,33.95069713
G13059,2013,June,51206.36667,350.2933333,29.81666667,19.23333333,2234.666667,242,Clarke,Georgia,South Region,South Atlantic Division,-83.36658617,33.95069713
G13059,2013,Mar,42419.6129,389.883871,14.93548387,1.983870968,732.9032258,88,Clarke,Georgia,South Region,South Atlantic Division,-83.36658617,33.95069713
G13059,2013,May,49565.77419,416.9290323,25.16129032,12.96774194,1532.903226,115,Clarke,Georgia,South Region,South Atlantic Division,-83.36658617,33.95069713
G13059,2013,Nov,36737.26667,274.7733333,16.33333333,3.05,810.6666667,67,Clarke,Georgia,South Region,South Atlantic Division,-83.36658617,33.95069713
G13059,2013,Oct,39967.03226,337.5483871,23.29032258,10.75806452,1336.774194,31,Clarke,Georgia,South Region,South Atlantic Division,-83.36658617,33.95069713
G13059,2013,Sept,43845.1,379.2,28.31666667,16.71666667,1925.333333,78,Clarke,Georgia,South Region,South Atlantic Division,-83.36658617,33.95069713
