fid,store_id,store_name,addr_id,addr_num,addr_st,addr_add,city,state,zip5,store_type,stype_num,store_group,stgrp_num,store,X,Y,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,method,match,st_fips,COUNTYFP,tract_fips,gisjn_tct,cty_fips,place_fips,place_name,gisjn_plc,msa_fips,msa_name,msaclass_name,msa_class,gisjn_msa,puma_fips,gisjn_puma
"1213",st_146444,DOLLAR GENERAL 8589,A116985,"1241",Moreland Ave SE Ste A,,Atlanta,GA,30316,Combination Grocery/Other,2,Small retail,4,Dollar General,-84.3495,33.72074,1,1,1,1,1,1,1,1,1,1,1,1,usda,,"13","121","13121006900",G1301210006900,"13121","1304000",Atlanta city,G13004000,"12060","Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Roswell, GA Metro Area",M1,G12060,"1301007",G13001007
"1557",st_146428,DOLLAR GENERAL 1566,A109529,"134",S Clayton St Ste 15B,,Lawrenceville,GA,30046,Combination Grocery/Other,2,Small retail,4,Dollar General,-83.98703,33.94878,1,1,1,1,1,1,1,1,1,1,1,1,usda,,"13","135","13135050521",G1301350050521,"13135","1345488",Lawrenceville city,G13045488,"12060","Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Roswell, GA Metro Area",M1,G12060,"1304003",G13004003
"1599",st_153511,DOLLAR GENERAL 9612,A117868,"1391",VETERANS MEMORIAL PKWY SU,,MABLETON,GA,30126,Combination Grocery/Other,2,Small retail,4,Dollar General,-84.59525,33.8152,1,1,1,1,1,1,1,1,1,1,1,1,usda,,"13","067","13067031308",G1300670031308,"13067","1348288",Mableton CDP,G13048288,"12060","Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Roswell, GA Metro Area",M1,G12060,"1303004",G13003004
"1784",st_153482,DOLLAR GENERAL 6034,A114830,"1462",Roswell Rd,,Marietta,GA,30062,Combination Grocery/Other,2,Small retail,4,Dollar General,-84.50912,33.95089,1,1,1,1,1,1,1,1,1,1,1,1,usda,,"13","067","13067030505",G1300670030505,"13067","1349756",Marietta city,G13049756,"12060","Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Roswell, GA Metro Area",M1,G12060,"1303001",G13003001
"1980",st_149131,DOLLAR GENERAL 9160,A117467,"1500",Pleasant Hill Rd,,Duluth,GA,30096,Combination Grocery/Other,2,Small retail,4,Dollar General,-84.12292,33.94207,1,1,1,1,1,1,1,1,1,1,1,1,usda,,"13","135","13135050542",G1301350050542,"13135",,,,"12060","Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Roswell, GA Metro Area",M1,G12060,"1304006",G13004006
"3065",st_151241,DOLLAR GENERAL 3399,A113314,"2190",Midway Rd,,Douglasville,GA,30135,Combination Grocery/Other,2,Small retail,4,Dollar General,-84.69828,33.74834,1,1,1,1,1,1,1,1,1,1,1,1,usda,,"13","097","13097080202",G1300970080202,"13097",,,,"12060","Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Roswell, GA Metro Area",M1,G12060,"1304400",G13004400
"3245",st_151245,DOLLAR GENERAL 3406,A113320,"2282",Lake Harbin Rd,,Morrow,GA,30260,Combination Grocery/Other,2,Small retail,4,Dollar General,-84.31567,33.58308,1,1,1,1,1,1,1,1,1,1,1,1,usda,,"13","063","13063040408",G1300630040408,"13063",,,,"12060","Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Roswell, GA Metro Area",M1,G12060,"1305002",G13005002
"3375",st_146401,DOLLAR GENERAL 1520,A109129,"2326",Henry Clower Blvd,,Snellville,GA,30078,Combination Grocery/Other,2,Small retail,4,Dollar General,-84.02454,33.85524,1,1,1,1,1,1,1,1,1,1,1,1,usda,,"13","135","13135050719",G1301350050719,"13135","1371604",Snellville city,G13071604,"12060","Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Roswell, GA Metro Area",M1,G12060,"1304005",G13004005
"3458",st_025949,Dollar General 10272,A104496,"2418",Devonion Dr,,Villa Rica,GA,30180,Combination Grocery/Other,2,Small retail,4,Dollar General,-84.89511,33.73181,1,1,1,1,1,1,1,1,1,1,1,1,usda,,"13","097","13097080404",G1300970080404,"13097","1379528",Villa Rica city,G13079528,"12060","Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Roswell, GA Metro Area",M1,G12060,"1304400",G13004400
"3574",st_151323,DOLLAR GENERAL 8200,A116666,"2561",Austell Rd SE,Ste 14,MARIETTA,GA,30008,Combination Grocery/Other,2,Small retail,4,Dollar General,-84.57887,33.89097,1,1,1,1,1,1,1,1,1,1,1,1,usda,,"13","067","13067031005",G1300670031005,"13067",,,,"12060","Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Roswell, GA Metro Area",M1,G12060,"1303004",G13003004
