YR,MO,DY,DATE,MONTH,TIME,TZ,ST,STF,STN,MAG,INJ,FAT,LOSS,CLOSS,SLAT,SLON,ELAT,ELON,LEN,WID,CLONG,CLAT
1950,2,12,2/12/1950,Feb,12:00:00,3,MS,28,2,1,0,0,0,0,34.6,-89.12,0,0,2,10,-89.11994138,34.60004164
1950,2,12,2/12/1950,Feb,12:00:00,3,MS,28,1,2,2,3,4,0,34.6,-89.12,0,0,0.1,10,-89.11994138,34.60004164
1950,2,13,2/13/1950,Feb,1:00:00,3,TN,47,1,1,8,0,3,0,35.35,-89.77,0,0,0.2,10,-89.76994115,35.35004202
1950,2,13,2/13/1950,Feb,2:00:00,3,TN,47,2,2,1,9,4,0,35.75,-89.48,0,0,0.2,10,-89.47994067,35.75004188
1950,3,1,3/1/1950,Mar,2:30:00,3,MS,28,3,1,0,0,0,0,32.5,-88.85,0,0,0.1,10,-88.84994283,32.50004137
1950,3,27,3/27/1950,Mar,5:00:00,3,MS,28,6,2,2,1,0,0,33.17,-90.55,0,0,0.1,10,-90.54994326,33.17004231
1950,3,27,3/27/1950,Mar,7:30:00,3,MS,28,7,2,0,0,0,0,33.13,-89.57,33.25,-89.42,11.9,10,-89.49505889,33.19002321
1950,3,27,3/27/1950,Mar,7:45:00,3,MS,28,5,2,6,0,5,0,32.28,-90.27,32.48,-89.78,31.9,50,-90.02531771,32.38027128
1950,3,27,3/27/1950,Mar,7:45:00,3,MS,28,4,2,7,0,5,0,32.28,-90.27,32.98,-89.82,59.3,50,-90.0460241,32.63013015
1950,3,27,3/27/1950,Mar,8:45:00,3,MS,28,9,2,0,0,0,0,33.67,-88.78,33.72,-88.73,4.7,10,-88.75500823,33.69500243
1950,3,27,3/27/1950,Mar,11:00:00,3,MS,28,8,1,2,0,4,0,34.73,-88.27,0,0,0.1,10,-88.26994081,34.73004119
1950,3,27,3/27/1950,Mar,15:00:00,3,TN,47,3,1,0,0,3,0,35.68,-85.77,0,0,0.2,10,-85.76993868,35.68003987
1950,4,18,4/18/1950,Apr,1:30:00,3,AL,1,1,3,15,0,4,0,30.67,-88.2,30.85,-88.1,14,100,-88.15005734,30.76000276
1950,4,18,4/18/1950,Apr,1:45:00,3,AL,1,2,2,0,0,3,0,30.7,-87.92,0,0,2,150,-87.91994365,30.70004072
1950,4,27,4/27/1950,Apr,16:00:00,3,SC,45,1,1,0,0,4,0,33.07,-80,0,0,0.7,37,-79.9999379,33.07003649
1950,4,29,4/29/1950,Apr,12:00:00,3,MS,28,10,2,0,0,5,0,31.27,-89.83,31.38,-89.7,11.3,100,-89.76504583,31.32501679
1950,5,1,5/1/1950,May,5:00:00,3,MS,28,11,1,0,0,4,0,31.73,-91.07,0,0,0.1,10,-91.06994459,31.73004248
1950,5,1,5/1/1950,May,9:00:00,3,MS,28,12,-9,0,0,4,0,31.55,-91.38,0,0,0.1,10,-91.37994489,31.55004262
1950,5,12,5/12/1950,May,14:00:00,3,NC,37,1,1,0,0,4,0,35.75,-77.42,0,0,2,10,-77.4199344,35.75003511
1950,5,12,5/12/1950,May,17:00:00,3,NC,37,2,1,0,0,0,0,35.73,-78.4,0,0,1,200,-78.39993488,35.73003568
1950,5,12,5/12/1950,May,17:00:00,3,NC,37,3,0,0,0,0,0,35.73,-78.4,0,0,1,200,-78.39993488,35.73003568
1950,5,14,5/14/1950,May,17:00:00,3,NC,37,4,1,0,0,3,0,35.3,-79.8,35.33,-79.75,3.8,50,-79.77500503,35.31500271
1950,5,14,5/14/1950,May,17:30:00,3,NC,37,5,2,5,0,0,0,35,-80.68,0,0,2,10,-80.67993663,35.00003698
1950,5,30,5/30/1950,May,14:00:00,3,GA,13,1,1,0,0,3,0,34.75,-84.92,0,0,0.5,10,-84.91993899,34.75003936
1950,5,31,5/31/1950,May,15:30:00,3,NC,37,6,1,0,0,3,0,35.42,-77.25,0,0,0.1,10,-77.24993461,35.420035
1950,6,3,6/3/1950,June,1:00:00,3,MS,28,13,3,1,2,0,0,33.08,-89.58,0,0,2,50,-89.57994279,33.08004179
1950,6,4,6/4/1950,June,6:00:00,3,GA,13,2,0,0,0,3,0,33.68,-84.93,0,0,2,200,-84.92993986,33.68003931
1950,6,4,6/4/1950,June,8:00:00,3,GA,13,3,1,1,0,4,0,33.85,-84.25,33.85,-84.2,3.3,10,-84.225,33.85000287
1950,6,7,6/7/1950,June,17:30:00,3,GA,13,4,1,0,0,3,0,33.03,-84.15,0,0,2,300,-84.14993997,33.03003884
1950,7,26,7/26/1950,July,15:30:00,3,NC,37,7,1,0,0,0,0,35.53,-77.4,0,0,0.1,10,-77.39993458,35.53003509
1950,7,27,7/27/1950,July,16:20:00,3,NC,37,8,1,0,0,3,0,35.4,-80.57,0,0,0.1,10,-80.56993623,35.40003693
1950,10,9,10/9/1950,Oct,2:15:00,3,NC,37,9,3,3,0,5,0,34.17,-78.6,0,0,2,880,-78.59993632,34.17003574
1950,11,20,11/20/1950,Nov,7:30:00,3,MS,28,14,1,3,0,4,0,32.42,-89.13,0,0,2,37,-89.12994304,32.42004151
1951,2,20,2/20/1951,Feb,15:00:00,3,MS,28,1,3,1,1,3,0,33.45,-88.87,0,0,0.1,10,-88.86994213,33.45004144
1951,2,20,2/20/1951,Feb,15:00:00,3,MS,28,2,1,0,0,3,0,33.47,-88.48,0,0,0.1,10,-88.4799419,33.47004123
1951,2,20,2/20/1951,Feb,16:00:00,3,AL,1,1,2,2,0,4,0,33.67,-87.7,0,0,0.1,123,-87.69994133,33.67004083
1951,4,21,4/21/1951,Apr,12:00:00,3,MS,28,4,1,0,0,4,0,32.07,-89.52,0,0,0.1,10,-89.51994351,32.07004169
1951,4,21,4/21/1951,Apr,19:25:00,3,MS,28,3,3,16,2,4,0,31.68,-89.25,32.15,-89.12,33.5,10,-89.18519707,31.91496664
1951,5,23,5/23/1951,May,4:23:00,3,GA,13,2,1,0,0,4,0,31.83,-81.5,0,0,0.3,300,-81.4999396,31.83003727
1951,5,23,5/23/1951,May,15:30:00,3,GA,13,1,2,0,0,4,0,31.3,-83.83,31.27,-83.68,9.2,50,-83.75498558,31.28502634
1951,6,8,6/8/1951,June,9:00:00,3,AL,1,2,2,2,0,3,0,34.97,-86.43,0,0,0.1,100,-86.42993962,34.9700402
1951,6,9,6/9/1951,June,5:30:00,3,MS,28,5,-9,0,0,3,0,32.9,-90.72,0,0,2,10,-90.71994355,32.90004238
1951,6,9,6/9/1951,June,17:00:00,3,NC,37,1,1,0,0,4,0,36,-78.33,36.03,-78.28,3.8,30,-78.30500508,36.01500271
1951,6,24,6/24/1951,June,14:00:00,3,SC,45,1,1,0,0,4,0,33.32,-81.13,0,0,0.1,10,-81.12993824,33.32003716
