College,Town,State,County,FullAdd,lon,lat
Abraham Baldwin Agricultural College,Tifton,GA,Tift,"Abraham Baldwin Agricultural College, Tifton, GA",-83.53019429999999,31.48307599999999
Albany State University,Albany,GA,Dougherty,"Albany State University, Albany, GA",-84.1403888,31.5690557
Atlanta Metropolitan State College,Atlanta,GA,Fulton,"Atlanta Metropolitan State College, Atlanta, GA",-84.40456809999999,33.7096749
Augusta University,Augusta,GA,Richmond,"Augusta University, Augusta, GA",-81.9898848,33.4709094
Clayton State University,Morrow,GA,Clayton,"Clayton State University, Morrow, GA",-84.3304201,33.5943931
College of Coastal Georgia,Brunswick,GA,Glynn,"College of Coastal Georgia, Brunswick, GA",-81.4867812,31.1832649
Columbus State University,Columbus,GA,Muscogee,"Columbus State University, Columbus, GA",-84.9404306,32.5026472
Dalton State College,Dalton,GA,Whitfield,"Dalton State College, Dalton, GA",-85.0037845,34.7753989
East Georgia State College,Swainsboro,GA,Emanuel,"East Georgia State College, Swainsboro, GA",-82.307009,32.595367
Fort Valley State University,Fort Valley,GA,Peach,"Fort Valley State University, Fort Valley, GA",-83.8954964,32.537501
Georgia College and State University,Milledgeville,GA,Baldwin,"Georgia College and State University, Milledgeville, GA",-83.2319298,33.0804485
Georgia Gwinnett College,Lawrenceville,GA,Gwinnett,"Georgia Gwinnett College, Lawrenceville, GA",-84.00444089999999,33.9799796
Georgia Highlands College,Rome,GA,Floyd,"Georgia Highlands College, Rome, GA",-85.2074433,34.1697568
Georgia Institute of Technology,Atlanta,GA,Fulton,"Georgia Institute of Technology, Atlanta, GA",-84.3991657,33.7783046
Georgia Southern University,Statesboro,GA,Bulloch,"Georgia Southern University, Statesboro, GA",-81.78653469999999,32.42054890000001
Georgia Southwestern State University,Americus,GA,Sumter,"Georgia Southwestern State University, Americus, GA",-84.21750809999999,32.0560379
Georgia State University,Atlanta,GA,Fulton,"Georgia State University, Atlanta, GA",-84.38528190000001,33.753068
Gordon State College,Barnesville,GA,Lamar,"Gordon State College, Barnesville, GA",-84.15165580000001,33.0473845
Kennesaw State University,Kennesaw,GA,Cobb,"Kennesaw State University, Kennesaw, GA",-84.61548959999999,34.0234
Middle Georgia State University,Macon,GA,Bibb,"Middle Georgia State University, Macon, GA",-83.7318852,32.8082159
Savannah State University,Savannah,GA,Chatham,"Savannah State University, Savannah, GA",-81.064413,32.024159
South Georgia State College,Douglas,GA,Coffee,"South Georgia State College, Douglas, GA",-82.85450829999999,31.4977147
University of Georgia,Athens,GA,Clarke,"University of Georgia, Athens, GA",-83.3773221,33.9480053
University of North Georgia,Dahlonega,GA,Lumpkin,"University of North Georgia, Dahlonega, GA",-83.9844416,34.5278618
University of West Georgia,Carrollton,GA,Carroll,"University of West Georgia, Carrollton, GA",-85.1032441,33.5718249
Valdosta State University,Valdosta,GA,Lowndes,"Valdosta State University, Valdosta, GA",-83.2892064,30.8489491
