Precinct,Arson,Assault,Burglary,Drugs,Malicious Mischief,Murder,Robbery,Theft,Veh_Prowling,Veh_Theft,AllCrimes,Population
3100,1,242,416,67,326,1,10,334,217,219,1833,1996
3101,7,391,253,84,386,1,28,398,191,165,1904,1514
3102,4,325,259,143,392,0,26,394,243,203,1989,1814
3103,1,293,230,89,410,1,44,684,295,209,2256,2134
3104,3,330,263,50,397,0,21,292,301,227,1884,2089
3105,0,165,223,45,263,0,10,237,181,139,1263,1611
3106,1,241,197,55,398,0,32,626,360,232,2142,1601
3107,1,636,416,144,748,0,72,1461,627,429,4534,2372
3108,1,83,168,32,169,0,9,131,214,112,919,1273
3109,4,311,333,141,542,2,83,2174,659,298,4547,2344
3110,0,152,185,26,242,0,6,265,258,158,1292,1912
3111,0,101,153,24,157,1,9,183,163,139,930,1366
3112,7,365,272,92,408,5,13,379,251,213,2005,2148
3113,1,238,190,43,254,0,21,256,165,158,1326,1701
3114,5,406,322,108,464,1,33,556,392,350,2637,1903
3115,2,189,154,46,252,1,11,186,199,107,1147,1571
3116,2,270,220,70,400,3,21,332,276,258,1852,2457
3117,0,194,263,77,340,2,21,287,322,214,1720,1775
3118,0,229,214,52,345,3,20,289,233,207,1592,1675
3119,1,196,164,50,244,0,15,289,216,157,1332,1505
3120,1,211,173,51,289,0,10,231,230,199,1395,1703
3121,1,168,129,41,236,0,5,181,259,162,1182,1919
3122,0,37,53,5,67,0,4,62,84,56,368,1035
3123,2,273,196,58,313,0,17,296,316,258,1729,1953
3124,1,239,263,66,418,1,26,361,370,256,2001,1889
3125,0,108,170,22,209,0,12,164,192,142,1019,1233
3126,1,37,78,5,160,1,3,71,233,50,639,1406
3127,0,63,176,9,220,0,8,136,241,111,964,1373
3128,3,152,203,46,326,0,18,320,293,148,1509,1826
3129,0,72,93,12,120,0,5,100,148,59,609,1629
3130,0,29,58,7,108,0,1,78,182,41,504,1222
3131,13,818,607,312,849,0,73,1122,493,511,4798,2793
3133,1,427,284,78,655,2,25,572,536,324,2904,2433
3134,2,140,148,24,201,0,17,241,276,141,1190,1643
3135,0,20,50,2,57,0,1,50,89,28,297,859
3136,1,266,265,44,401,2,21,312,430,252,1994,1876
3137,3,490,643,253,732,2,63,1424,544,590,4744,2323
3138,3,400,233,102,376,4,25,310,309,251,2013,2047
3139,6,364,365,98,460,1,33,698,373,316,2714,1788
3140,2,185,174,46,265,3,32,467,264,174,1612,1531
3141,4,447,502,230,851,3,82,1696,851,595,5261,2271
3142,0,179,187,43,432,0,27,489,517,194,2068,2891
3143,1,175,233,28,343,1,28,409,414,194,1826,2162
3144,6,275,362,104,441,2,53,845,351,249,2688,1862
3145,0,85,121,28,182,1,8,154,227,141,947,1109
3146,5,382,361,116,596,1,51,611,499,289,2911,2016
3147,2,199,186,53,331,1,18,303,326,190,1609,1416
